id,eng,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
cput_termbank_data_0,Aerobe,Aëroob,,,,
cput_termbank_data_1,Adhesin,Kleefmolekule,,,,
cput_termbank_data_2,Adjuvant,Adjuvant,,,,
cput_termbank_data_3,Aerotolerant anaerobes,Lugverdraagsame anaerobes,,,,
cput_termbank_data_4,Affinity,Affiniteit,,,,
cput_termbank_data_5,Alternative macrophage activation,Alternatiewe makrofaagakltivering,,,,
cput_termbank_data_6,Anaemia,Anemia,,,,
cput_termbank_data_7,Anaerobe,Anaerobe,,,,
cput_termbank_data_8,Anisocytosis,Anisositose,,,,
cput_termbank_data_9,Antin,Teenliggaam,,,,
cput_termbank_data_10,Antibiotic,Antibiotikum,,,,
cput_termbank_data_11,Antigen,Antigeen,,,,
cput_termbank_data_12,Antigen presentation,Antigeenaanbieding,,,,
cput_termbank_data_13,Antigenic drift,Antigeniese dryf,,,,
cput_termbank_data_14,Antigenic shift,Antigeniese verskuiwing,,,,
cput_termbank_data_15,Antigen-presenting cell,Antigeenaanbiedingsel,,,,
cput_termbank_data_16,Aplastic,Aplastiese anemie,,,,
cput_termbank_data_17,Apoptosis,Apoptose,,,,
cput_termbank_data_18,Artefact,Artefak,,,,
cput_termbank_data_19,Ascites,Askites,,,,
cput_termbank_data_20,Atrophy,Atrofie,,,,
cput_termbank_data_21,Attenuated,Verswakte,,,,
cput_termbank_data_22,Atypical,Atipies,,,,
cput_termbank_data_23,Auer rod,Auerstaaf,,,,
cput_termbank_data_24,Autocrine factor,Outokriene faktor,,,,
cput_termbank_data_25,Autoimmune disease,Outo-immuunsiekte,,,,
cput_termbank_data_26,Avidity,Aviditeit,,,,
cput_termbank_data_27,B cell receptor,B-selreseptor,,,,
cput_termbank_data_28,B Lymphocyte,B-limfosiet,,,,
cput_termbank_data_29,Biofilm,Biofilm,,,,
cput_termbank_data_30,Blastema,Blastema,,,,
cput_termbank_data_31,Capsid,Kapsied,,,,
cput_termbank_data_32,Capsule,Kapsule,,,,
cput_termbank_data_33,Cardinal Temperatures,Kardinale temperature,,,,
cput_termbank_data_34,Chemokines,Chemokiene,,,,
cput_termbank_data_35,Chemotaxis,Chemotaksis,,,,
cput_termbank_data_36,Chromagen,Chromogeen,,,,
cput_termbank_data_37,Chromatin,Chromatien,,,,
cput_termbank_data_38,Classical macrophage activation,Klassieke makrofaagaktivering,,,,
cput_termbank_data_39,Coagulation,Koagulasie,,,,
cput_termbank_data_40,Coliform,Koliform,,,,
cput_termbank_data_41,Commensal,Kommensaal,,,,
cput_termbank_data_42,Complement,Komplement,,,,
cput_termbank_data_43,Constitutive gene,Konstituerende geen,,,,
cput_termbank_data_44,Cytokines,Sitokiene,,,,
cput_termbank_data_45,Cytopathic,Sitopaties,,,,
cput_termbank_data_46,Cytopathic effect,Sitopatiese effek,,,,
cput_termbank_data_47,Cytostome,Sitostoom,,,,
cput_termbank_data_48,Degeneration,Degenerasie,,,,
cput_termbank_data_49,Dermatophytes,Dermatofiete,,,,
cput_termbank_data_50,Differential media,Differensiërende media,,,,
cput_termbank_data_51,Differential staining,Differensiërende kleuring,,,,
cput_termbank_data_52,Differentiate,Diffrensiëer,,,,
cput_termbank_data_53,Dikaryotic stage,Dikariotiese fase,,,,
cput_termbank_data_54,Disinfection,Ontsmetting,,,,
cput_termbank_data_55,Dysplasia,Displasie,,,,
cput_termbank_data_56,Dyspnea,Kortasemheid,,,,
cput_termbank_data_57,Ectoplasm,Ektoplasma,,,,
cput_termbank_data_58,Effector cells,Effektorselle,,,,
cput_termbank_data_59,Efflux pumps,Uitvloeipompe,,,,
cput_termbank_data_60,Electron acceptor,Elektron-akseptor,,,,
cput_termbank_data_61,Electron donor,Elektron-skenker,,,,
cput_termbank_data_62,Electron transport chain,Elektronvervoerketting,,,,
cput_termbank_data_63,Endoplasm,Endoplasma,,,,
cput_termbank_data_64,Endospore,Endospoor,,,,
cput_termbank_data_65,Endotoxin,Endotoksien,,,,
cput_termbank_data_66,Enriched media,Verrykte media,,,,
cput_termbank_data_67,Enrichment media,Verrykingsmedia,,,,
cput_termbank_data_68,Enteric bacteria,Enteriese bakterië,,,,
cput_termbank_data_69,Enterotoxin,Enterotoksien,,,,
cput_termbank_data_70,Enveloped virus,Omhulde virus,,,,
cput_termbank_data_71,Epidemic,Epidemie,,,,
cput_termbank_data_72,Epidemiology,Epidemiologie,,,,
cput_termbank_data_73,Episome,Episoom,,,,
cput_termbank_data_74,Epitheliod,Epiteelagtig,,,,
cput_termbank_data_75,Equivocal,Dubbelsinnig,,,,
cput_termbank_data_76,Excystment,Eksistasie,,,,
cput_termbank_data_77,Exoenzymes,Ekso-ensieme,,,,
cput_termbank_data_78,F factor,F-faktor,,,,
cput_termbank_data_79,Facilitated diffusion,Gefasiliteerde diffusie,,,,
cput_termbank_data_80,Facultative anaerobes,Fakultatiewe anaerobe,,,,
cput_termbank_data_81,Faecal coliforms,Fekale koliforme,,,,
cput_termbank_data_82,Faecal enterococci,Fekale enterokokke,,,,
cput_termbank_data_83,Fermentation,Fermentasie,,,,
cput_termbank_data_84,Fimbriae,Fimbriae,,,,
cput_termbank_data_85,Fixation,Fiksering,,,,
cput_termbank_data_86,Flagellin,Flagellin,,,,
cput_termbank_data_87,Food intoxication,Voedselintoksikasie,,,,
cput_termbank_data_88,Food-borne infection,Voedsel-gedraagde infeksie,,,,
cput_termbank_data_89,Food poisoning,Voedselvergiftiging,,,,
cput_termbank_data_90,Fruiting body,Vrugliggaam,,,,
cput_termbank_data_91,Fungicide,Swamdoder,,,,
cput_termbank_data_92,Fungistatic,Fungistatum,,,,
cput_termbank_data_93,Fungus,Swam,,,,
cput_termbank_data_94,Gametangium,Gametangium,,,,
cput_termbank_data_95,Generalised transduction,Veralgemeende transduksie,,,,
cput_termbank_data_96,Generation time,Reproduksietyd,,,,
cput_termbank_data_97,Glycolysis,Glikolise,,,,
cput_termbank_data_98,Gonococci,Gonokokke,,,,
cput_termbank_data_99,Group translocation,Groeptranslokasie,,,,
cput_termbank_data_100,Haemagglutination,Hemagglutinasie,,,,
cput_termbank_data_101,Haemagglutinin,Hemagglutinien,,,,
cput_termbank_data_102,Haemolysis,Hemolise,,,,
cput_termbank_data_103,Haemoptysis,Hemoptise,,,,
cput_termbank_data_104,Halophile,Halofiel,,,,
cput_termbank_data_105,Halotolerant,Halotolerant,,,,
cput_termbank_data_106,Hapten,Hapteen,,,,
cput_termbank_data_107,Helicases,Helikases,,,,
cput_termbank_data_108,Hematopoiesis,Hematopoëse,,,,
cput_termbank_data_109,Hematopoietic stem cell,Hematopoëtiese stamsel,,,,
cput_termbank_data_110,Heterolactic fermenters,Heterolaktiese fermenteerders,,,,
cput_termbank_data_111,Heterotroph,Heterotroof,,,,
cput_termbank_data_112,Hfr strain,Hfr-stam,,,,
cput_termbank_data_113,Homolactic fermenter,Melksuurfermenteerders,,,,
cput_termbank_data_114,Hopanoids,Hopanoïede,,,,
cput_termbank_data_115,Human microbiome,Menslike mikrobioom,,,,
cput_termbank_data_116,Humoral immunity,Humorale immuniteit,,,,
cput_termbank_data_117,Hypha,Hife,,,,
cput_termbank_data_118,Hypochromia,Hipochromie,,,,
cput_termbank_data_119,Hysterectomy,Histerektomie,,,,
cput_termbank_data_120,Immortalisation,Immortalisasie,,,,
cput_termbank_data_121,Immunology,Immunologie,,,,
cput_termbank_data_122,Impalpable,Onvoelbaar,,,,
cput_termbank_data_123,Inclusions,Insluitings,,,,
cput_termbank_data_124,Incubation period,Inkubasieperiode,,,,
cput_termbank_data_125,Index case,Indeksgeval,,,,
cput_termbank_data_126,Indicator organism,Aanwyser-organisme,,,,
cput_termbank_data_127,Infection,Infeksie,,,,
cput_termbank_data_128,Infectious disease,Aansteeklike siekte,,,,
cput_termbank_data_129,Infectious Dose 50,Infeksiedosis 50,,,,
cput_termbank_data_130,Interferons,Interferons,,,,
cput_termbank_data_131,Intoxication,Intoksikasie,,,,
cput_termbank_data_132,Invasiveness,Indringendheid,,,,
cput_termbank_data_133,KirbyBauer method,Kirby-Bauer-metode,,,,
cput_termbank_data_134,Kochs postulates,Koch se postulate,,,,
cput_termbank_data_135,Lactic acid fermentation,Melksuurfermentasie,,,,
cput_termbank_data_136,Left shift,Linksskuif,,,,
cput_termbank_data_137,Lethal Dose 50,Dodelike Dosis 50,,,,
cput_termbank_data_138,Leukaemia,Leukemie,,,,
cput_termbank_data_139,Leukocyte,Leukosiet,,,,
cput_termbank_data_140,Leukoerythroblastic reaction,Leukoëritoblastiese reaksie,,,,
cput_termbank_data_141,Ligand,Ligand,,,,
cput_termbank_data_142,Lipopolysaccharide,Lipopolisakkariede,,,,
cput_termbank_data_143,Lithotroph,Litotroof,,,,
cput_termbank_data_144,Lymphoma,Limfoom,,,,
cput_termbank_data_145,Lysogeny,Lisogenie,,,,
cput_termbank_data_146,Lysosome,Lisosoom,,,,
cput_termbank_data_147,Lysozyme,Lisosiem,,,,
cput_termbank_data_148,Macrocytosis,Makrositose,,,,
cput_termbank_data_149,Macrophage,Makrofaag,,,,
cput_termbank_data_150,Maturation,Volwassewording,,,,
cput_termbank_data_151,Mesophile,Mesofiel,,,,
cput_termbank_data_152,Metabolism,Metabolisme,,,,
cput_termbank_data_153,Metabolites,Metaboliete,,,,
cput_termbank_data_154,Microaerophile,Mikro-aërofiel,,,,
cput_termbank_data_155,Microbiota,Mikrobiota,,,,
cput_termbank_data_156,Microcytosis,Mikrositose,,,,
cput_termbank_data_157,Micronutrients,Mikronutriënte,,,,
cput_termbank_data_158,Minimal inhibitory concentration,Minimale inhiberende konsentrasie,,,,
cput_termbank_data_159,Minimal lethal concentration,Minimale dodelike konsentrasie,,,,
cput_termbank_data_160,Mixed acid fermentation,Gemengde suurfermentasie,,,,
cput_termbank_data_161,Mordant,Mordant,,,,
cput_termbank_data_162,Morphovar,Morfovar,,,,
cput_termbank_data_163,Nuclear moulding,Nukluêre vorming,,,,
cput_termbank_data_164,Mould,Skimmel,,,,
cput_termbank_data_165,Mycelium,Miselium,,,,
cput_termbank_data_166,Mycology,Mikologie,,,,
cput_termbank_data_167,Mycosis,Mikose,,,,
cput_termbank_data_168,Naïve lymphocyte,Naïewe limfosiet,,,,
cput_termbank_data_169,Narrowspectrum antibiotics,Nouspektrum antibiotika,,,,
cput_termbank_data_170,Neuraminidase,Neuraminidase,,,,
cput_termbank_data_171,Neutrophile,Neutrofiele,,,,
cput_termbank_data_172,Nocardioforms,Nokardioforme,,,,
cput_termbank_data_173,Normochromasia,Normochromasie,,,,
cput_termbank_data_174,Nucleocapsid,Nukleokapsied,,,,
cput_termbank_data_175,Nucleoid,Nukleoïed,,,,
cput_termbank_data_176,Numerical aperture,Numeriese diafragma,,,,
cput_termbank_data_177,Obligate aerobe,Verpligte aëroob,,,,
cput_termbank_data_178,Obligate anaerobe,Verpligte anaëroob,,,,
cput_termbank_data_179,Oocyst,Oösist,,,,
cput_termbank_data_180,Opportunistic pathogen,Opportunistiese patogeen,,,,
cput_termbank_data_181,Opsonin,Opsonien,,,,
cput_termbank_data_182,Organotroof,Organotroof,,,,
cput_termbank_data_183,Osmophiles,Osmofiele,,,,
cput_termbank_data_184,Osmotolerant,Osmotolerant,,,,
cput_termbank_data_185,Oxidative phosphorylation,Oksidatiewe fosforilasie,,,,
cput_termbank_data_186,Paracrine factor,Parakrienfaktor,,,,
cput_termbank_data_187,Phagocytosis,Fagositose,,,,
cput_termbank_data_188,Plasma cell,Plasmasel,,,,
cput_termbank_data_189,Poikilocytosis,Poikilositose,,,,
cput_termbank_data_190,Pyknosis,Piknose,,,,
cput_termbank_data_191,Reticulocyte,Retikulosiet,,,,
cput_termbank_data_192,Tachycardia,Versnelde hartklop,,,,
cput_termbank_data_193,Thrombosis,Trombose,,,,
cput_termbank_data_194,Vaccination,Inenting,,,,
cput_termbank_data_195,Accountability,Verantwoordbaarheid,,,,
cput_termbank_data_196,Active exercises,Aktiewe oefeninge,,,,
cput_termbank_data_197,Acute pain,Akute pyn,,,,
cput_termbank_data_198,Acute wound,Akute wond,,,,
cput_termbank_data_199,Adaptation,Aanpassing,,,,
cput_termbank_data_200,Adjuvant,Adjuvant,,,,
cput_termbank_data_201,Adverse drug reaction,Negatiewe reaksie van medikasie,,,,
cput_termbank_data_202,Anaesthesia,Narkose,,,,
cput_termbank_data_203,Analgesics,Pynstillers,,,,
cput_termbank_data_204,Anuria,Anurie,,,,
cput_termbank_data_205,Apnoea,Apnee,,,,
cput_termbank_data_206,Arousal,Opwekking,,,,
