id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_life_orientation_terminology_term_list_0,abduct,ontvoer,ukuthumba,uqweqwedisa umntu / ukuxhwila umntu / ukuthwalwa,tfumba,-eba umuntu / -thumba,thopa,-thopa,-kwetela,u dzhia nga khani,tlhakisa,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_1,abolish,afskaf / ophef,ukuqeda,tshitshisa / bhangisa / phelisa,phelisa / cedza,-phelisa / -qeda,fedisa,-fediša,-fedisa,fhelisa / fhedza,herisa,verb,e.g. laws,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_2,abusive,krenkend / beledigend,okuhlukumezayo,-xhaphazayo / -thukayo,-hlukumetako,-hlukumezako / -tlhagisako / -tlhorisako,-sotla,-tshotlo / -tlaišo,-hlekefetsang,-tambudzaho,-xanisa,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_3,accept,aanvaar,ukwamukela / ukuvuma,-amkela / vuma,emukela / vuma,-mukela / -vuma,dumela / amogela,-amogela,-amohela,ṱanganedza / tenda,amukela / pfumela,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_4,accident,ongeluk,ingozi,ingozi,ingoti,ingozi,kotsi,kotsi,kotsi,khombo / phanzi,nghozi / khombo / mhangu,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_5,accompany,vergesel / saamloop met / meegaan met / begelei,ukuphelezela / ukukhapha,khapha / pheleka,pheleketela / hambisana / khapha,-khambisana / -phekelela,pata / felegetsa,-felegetša,-felehetsang,fhelekedza,ku heleketa,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_6,accompany,gepaardgaan met / in verband staan met / saamgaan met,ukuhambisana,ukukhapha / ukupheleka,ba khona,-khambisanako / -phekelelanako,nna teng,-ba gona,-tsamaellana / -etsahalla hong,u itea mazha,ku famba na un'wana,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_7,accountant,rekenmeester,umhlolimabhuku ezimali,umbali-zimali / umcwangcisi-zimali,umgcinimabhuku / umcwaningimabhuku,usoma-akhawundi / umgcini ma-akhawundi,mmalatlotlo,ramatlotlo / moakhaothente,akhaontente,muḓivhambalelano / muakhaunthenthe,n'watinkonta / mutivatinkonta,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_8,achieve,behaal / bereik,ukufeza / ukuphumelela,phumelela / phumeza / fezekisa,phumelela / feza,-fikelela / -phumelela,fitlhelela,-fihlelela,-atleha / -fihlella,swikela,humelela / fikelela,verb,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_9,achievement,prestasie / sukses,okufeziwe,impumelelo,imphumelelo,ipumelelo / ifikelelo,phitlhelelo,phihlelelo,katleho / phihlello,tswikelo,humelelo / mfikelelo,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_10,acrostic poem,naamdig / akrostigon,inkondlosiqubulo,umbongo oakhrostiki,inkondlosicubulo,ikondlosiqubulo,leboko la akerobate,sereto sa akhorositiki,thothokiso ya akrostiki,tshirendo tsha akrostiki,xitlhokovetselo xa akhorositiki,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_11,addictive,verslawend,okuhuhayo,-rhumrhekisayo / -rhubulayo,-gcilatanako / -huhanako,-khobongako / -kghobako,-dira lekgobla / -tshwakgola,-hlolago bokgoba / -boneelela,-etsang lekgoba,-vhangaho vhupuli ha dzema,-vuhlonga,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_12,addictive substance,verslawende middel / gewoontevormende middel,isihuhisi,isiyobisi esirhumrhayo / isiyobisi esirhubulayo,lutfo lolugcilatanako / lutfo loluhuhanako,into ekhobongako / into ekghobako,seretlholatshwakgolo,sehlola boneelela / sehlola bokgoba,ntho e bakang bokgoba,tshidzidzivhadzi tsha vhupuli ha dzema / tshidzidzivhadzi mveledza vhupuli ha dzema,xidzidziharisi xo hlongahata,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_13,address,adres,ikheli,idilesi,likheli,isiphande / i-adresi,aterese,aterese,aterese,aḓiresi / ḓiresi,kherefu / adirese,noun,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_14,adolescence,adolessensie,ububhungu / ubutshitshi / ubuqhumamponjwana,ukufikisa,kutfomba,ubutlawu / ubuja,bosima,botšwa mahlalagading,ho tswa phakweng,vhuṱhannga / vhukomba,nkarhi wa xijaha / nkarhi wa xinhwana,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_15,adult,volwassene,umuntu omdala / umdala,umntu omdala,umuntfu lomdzala,umuntu omkhulu,mogolo,mogolo,moholo,mualuwa,lonkulu,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_16,adulthood,volwassenheid,ubudala,ubudala,budzala,ubukhulu,bogolo,bogolo,boholo,vhualuwa,vukulu,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_17,adventure,avontuur / ondervinding / belewenis,umdlalo onobungozi,udelo-ngozi / imfuna-mava,kutimbandzakanya esigigabeni lesingaba yingoti / kwenta intfo longakaze uyente / kutimbandzakanya esigigabeni lesingaba yingoti,igabazo / isenzo esiyingozi,tekelelo,bolekadigale,ho lekaleka,vhuḓifungi,rivonavona,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_18,advertise,adverteer / reklame maak,ukukhangisa,-azisa / bhengeza / papasha,khangisa,-khangisa / -bukisa / -qalisa,phasalatša / bapatsa,-kwalakwatša,-bapatsa,kungedzela,navetisa,,,,,,,,,,,,,,,,,,,,,,
