id,eng,afr,xho,ssw,nbl,tsn,nso,ven,tso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_multilingual_engineering_and_construction_terminology_0,absorption field,absorpsieveld,ummandla wofunxolindle / isitamkoko,indzawokumunya,ubumunyelosilaphazo / indawo yokumunyela isilaphazo,matlhatlhaganyane a bomunelo,bomonego / lefelomonego,vhunwelelo,vutswongelo,,,plumbing,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_1,abutment,steunmuur,intsika yebhulorho,sisekeli / sisimisi,isisekelibhlorho,lokganedi,sethekgi,luvhondothikhaburoho,khumbinseketelo,,,retaining wall,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_2,access chamber,toegangskamer,umngxuma wokungena kwikholbhethi,umgodzilungeno / umgodziluhlolo,umgodi wokuhlola amaphayiphi,mokgothwana,moletephihlelelo / mokotiphihlelelo,mulondotswikelelo,muhochomfikelelo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_3,acrow prop,teleskopiese staalstut,intsika yexeshana,sisimisi sesikhashana / sisekeli sesikhashana / siphakamisi sesikhashana,isisekelimakhiwo sesikhatjhana / isika yesikhatjhana,matshego,sethekgisebakanyana,thikhopheleledzo,phuphuxikhafula,,,temporary support,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_4,actuator,drywer / aandrywer,isiduduli,sisundvuti,isikhambisi,setsamaisi,sesepediši,akutshuweitha,xifambisi / xilawuri,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_5,aerospace engineering,ruimte-ingenieurswese / ruimtevaartingenieurswese,ubunjineli ngezophapho,bunjiniyela betindizamshini / bunjiniyela betihambamoyeni,ubunjiniyere bezeemphaphamtjhini / ubunjiniyere bezaboflayi,boenjenere jwa difofane,boentšenerephofo,vhuinzhiniara ha zwa vhuendatshikhalani,vunjhiniyara bya swa vuhahi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_6,aggregate,aggregaat / toeslag / amatshe okwenza ukhonkolo,ikonkriti,tinhlobonhlobo telukhetse / tinhlobonhlobo teluhhayematje / tinhlobonhlobo tekucoliseka kwematje,amatjana wekhonkhridi,konkereitetswakwa,lekgwara,thombwana,xipfanganisiwandzinganelo / xihlanganisiwandzinganelo,,,concrete,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_7,agricultural engineering,landbouingenieurswese / landbou-ingenieurswese,ubunjineli ngezolimo,bunjiniyela betekulima,ubunjiniyere bezokulima,boenjenere jwa temothuo,boentšeneretemothuo,vhuinzhiniara ha zwa vhulimivhufuwi,vunjhiniyara bya swa vurimivufuwi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_8,airbrick,lugsteen,isitena esineentunja,sitini sekungenisa umoya,isitina esingenisa ummoya,setenarobana,setenamoya / eporiki,tshidinatseramuya / tshidinapfukisamuya,xitinamoya,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_9,air-conditioner condenser,lugversorgerkondensator,isiguqulisimo somoya / isihuhuzimoya,siguculisimo semoya / sintjintjisimo semoya,isitjhubisimrhwamuko sesiphehlimmoya,sekomotisamowa,sefetošamoya,tshilangutshilangamufhe,khondensara ya xilawulamoya,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_10,air conditioning,lugversorging,ulawulomoya / uguqulomoya / ulungisomoya,kugucuka kwemoya / kuntjintja kwemoya,ukulawulwa kwezingakutjhisa,phetolamowa,taolomoya,vhulangamufhe,vulawulamoya,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_11,aircrete,lugbeton,ikonkriti ekhaphukhaphu,luhlobo lwasemende lolula,umhlobo wekhonkhridi elula,konkereitefefo / konkereitetlhofo,samentefefo / ekhiriti,ekhrithi,xitinambevuko,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_12,air duct,luggang / lugkanaal / lugleiding,umjelo womoya,umgudvumoya,iphayiphi lommoya / umrhoswana wommoya,moselemowa / moelamowa,sesepetšamoya,phaiphi ya muya,nsokomoya,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_13,air-entrained concrete,luggevulde beton,ikonkriti yokwakha indlela / ikonkriti eneentunja / ikonkriti efakwe umoya,khonkholomabhamuta / khonkholotikhala,ikhonkhridi enamabhamuza,konkereitekgopamowa,khonkhoritsenywamoya,khonkhirithi ya phore,khonkhireti ya swimbyarumbyaru,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_14,alcove,alkoof,igolongxa,umkhoco,umrhohlomela / i-alkhovu,logabo,leobo / alekhoufu,alkhouvu,nkovotlaxikhaviso / alikhovhu,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_15,anchor,anker,iankile,sibophi / sibopheleli,isibopheleli / i-ankere,lomapo / tshetledi,sebofagantšhi / enkhara,tshiṱanganyi / tshiṱumanyi,xitiyiso / xibohelo,,,for stability,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_16,ant cap,mierskerm / mierskut,isithintelimbovane,sivimbelincangozi / sivimbelimuhlwa,isivimbelimuhlwa / isikhandelimuhlwa,sekganeladitshoswane,sethibelamohlwa,tshithivhelamutshenzhe / tshipilamutshenzhe,xisivelamuhlwa / xisivelamajenje,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_17,applied engineering,toegepaste ingenieurswese,ubunjineli ngokwamakhondo,bunjiniyela belwentiwomsebenti / bunjiniyela bemakhono,ubunjiniyere bokuphumelelisa amakghono,boenjenere jwa tirisego,boentšeneretirišo / boentšeneretšhomišo,vhuinzhiniara ha zwa mashumisele / vhuinzhiniara ha zwa kushumisele,vunjhiniyara bya swa matirhiselo,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_18,arcade,arkade / deurloop,indledlana enophahla / iakheyidi,umhume loneluphahla / i-akheyidi,umrhoswana ofulelweko / i-akheyidi,mogorogoro / akheite,tselanagaremeago / akheiti,akheidi,akhedi,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_engineering_and_construction_terminology_19,architect,argitek,umyilizakhiwo,umcambisakhiwo / umcambiplani,umtlami wamaplani wemakhiwo,moraladikago,mohlamadipolane / moakhitheke,muakhithekhithi / muaṭshithekhithi,mutshulatipulani wa miako / n'watipulani wa miako,,,,,,,,,,,,,,,,,,,,,
