id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_financial_terminology_0,account,rekening,i-akhawunti,ityala / isikweliti / i-akhawunti,i-akhawunti,i-akhawundi,tshupatlotlo / akhaonte,akhaonte / tšhupatlotlo,akhaonte,akhaunthu,akhawunti / nkota,,credit,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_financial_terminology_1,accrued income,opgeloopte inkomste / opgelope inkomste,ingenisomali eqongelelwe,ingeniso engekahlawulwa / ingeniso engekabhatalwa,imalingena lecongelelwe / imalingena lelindzelekile,ingeniso elindelweko,lotsenokokoantsweng,letseno leo le kokotletšego / letseno leo le oketšegilego,lekeno le lebeletsweng,mbuelokhuvhanganywa,malinghena leyi languteriweke,,investment,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_financial_terminology_2,accrued income,opgeloopte inkomste / opgelope inkomste,ingenisomali eqongelelwe,intlawulo engekafunyanwa,imalingena lecongelelwe / imalingena lelindzelekile,ingeniso elindelweko,lotsenokokoantsweng,letseno la ditirelo,lekeno le lebeletsweng,mbuelondavhelelwa,malinghena leyi languteriweke,,services rendered,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_financial_terminology_3,accrued interest,opgeloopte rente / opgelope rente,inzalomali eqongelelwe,inzala engekahlawulwa / inzala engekabhatalwa,intalo lelindzelekile,inzalo elindelweko / amakonyana alindelweko,morokotsokokoantsweng,tswala yeo e kokotletšego / tswala yeo e oketšegilego,tswala e lebeletsweng,nzwalelondavhelelwa,ntswalo lowu languteriweke,,investment,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_financial_terminology_4,additional excess,addisionele bybetaling,inhlangabezozindleko eyengeziwe,intlawulelo-bango eyongezelelweyo / i-eksesi eyongezelelweyo,inhlawulongetelelo,inaningezelelo elingezelelako / ilaselelomali elingezelelako,tlaleletsokoketso,tefelotlaleletšo yeo e okeditšwego,eksese ya tlatsetso,mbadelonyinganyengedzedzwa,hakeloengetelo / hakelotlhandlekelo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_financial_terminology_5,administration fee / administrative charge,administrasiegeld,isibizo sokusingatha,intlawulo yezolawulo,imali yekulawula,imbadalo yokuphatha / imbadalo yokukhambisa,maditsamaiso,tefo ya tshepedišo,tefiso ya tsamaiso,masheleni a ndaulo,malifambiso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_financial_terminology_6,administrative costs,administratiewe koste,izindleko zokusingatha,iindleko zezolawulo,tindleko tekulawula,iindleko zokuphatha / iindleko zekambiso / iindleko zokukhambisa,ditshenyegelotsamaiso,ditshenyagalelo tša tshepedišo / ditshenyegelo tša tshepedišo,ditjeo tsa tsamaiso,tshinyalelo dza ndaulo,hakelofambiso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_financial_terminology_7,affidavit,beëdigde verklaring,isitatimende esifungelwe / i-afidavidi,ingxelo efungelweyo / i-afidavithi,sitatimende lesifungelwe / i-afidavithi,isitatimende esifungelweko / i-afidavidi,lokwalokano / pegokano / afidaviti,afidaviti / lengwalokeno,afidaviti / lengolo la tlhapanyo,afidevithi,xihlambanyovumbhoni / afidavhiti,Latin,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_financial_terminology_8,affordable,bekostigbaar,okuthengekayo,-fikelelekayo,-tsengekako,-thengekako,-rekega,-rekega,-fihlelehang / -rekehang,-konadzea / -swikelea,-xaveka / -fikeleleka,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_financial_terminology_9,agreed value,ooreengekome waarde,inanibungako eliyisibopho / inanibungako okuvunyelwane ngalo,ixabiso ekuvunyelwene ngalo,linani lekuvunyelwene ngalo,inani ekuvunyelwene ngalo,bolengtumelano,boleng bjo bo kwanetšwego,boleng bo dumellanweng,ndeme yo tendelanwaho,nkokha lowu twananeriweke,,,,,,,,,,,,,,,,,,,,,,
