id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_hiv_and_aids_terminology_0,"ABC / abstain, be faithful, condomise",ABC-voorkomingsboodskap,-zithibe / -thembeka / -sebenzisa ijazi lomkhwenyana / -sebenzisa ikhondomu,zinxweme / thembeka / sebenzisa ikhondom / zikhwebule / ziguzule / zila isondo,titsibe / tsembeka / sebentisa lijazi lemkhwenyane,zila / thembeka / sebenzisa ikhondomu / i-ABC,ikanyege / dirisa mosomelwana / ikgape / kgotlopo / ABC,ikilele / botega / diriša khontomo / diriša kgotlopo,ila motabo / tshepahala / sebedisa khondomo / sebedisa kgohlopo,ḓiilisa / fulufhedzea / shumisa khondomu / ḒIFUSHU,papalata / tshembeka / tirhisa khondomu,Abbreviation,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_hiv_and_aids_terminology_1,abdominal pain,abdominale pyn / buikpyn / maagpyn,izinhlungu zesisu / ubuhlungu besisu / ubuhlungu benxasisu,ubuhlungu bamazantsi esisu / ingqaqambo yamazantsi esisu,buhlungu beluntfu / buhlungu besinye,ubuhlungu bamathumbu,setlhabi mpeng / kgadikego,sehlabi ka mpeng,bohloko ba ka mpeng,vhuṱungu ha thumbuni / vhuṱungu ha dangani / u luṅwa dangani / u luṅwaluṅwa / u susutwa,xivavi xa khwiri,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_hiv_and_aids_terminology_2,abortion / termination of pregnancy / TOP,aborsie / beëindiging van swangerskap / vrugafdrywing,ukukhishwa kwesisu / ukuhushulwa kwesisu,ukuqhomfa / ukukhupha isisu,kukhishwa kwesisu / kuhushula sisu / kukhipha sisu,ukurhululwa kombungu,tshololompa / khutlisompa / ntshompa / tshenyompa / temololo,go ntšha mpa / phedišo ya mpa / tshenyego ya mpa,ho ntsha mpa,u pwasha thumbu / u thutha thumbu / u ṋula thumbu / u wisa thumbu / u bvisa thumbu,ku xixa / ku susa khwiri,see also miscarriage,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_hiv_and_aids_terminology_3,abstain,jou onthou van / jou weerhou van,-zithibe / -zibambe / -gwema / -zila,zinxweme / zikhwebule / ziguzule / zila isondo,titsibe / gwema / zila temacansi / balekela temacansi,-zila,ikgapha / ikilela,ikilela,ila motabo / ila thobalano / ila moseme,ḓiilisa / ḓibvisa,papalata,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_hiv_and_aids_terminology_4,abstinence,onthouding / weerhouding,ukuzithiba / ukuzibamba / ukugwema / ukuzila,ukuzinxwema / ukuzikhwebula / ukuziguzula / ukuzila isondo,kutitsiba / kuzila temacansi,ukuzila / ukulisa,boikgapho / boikilelo,boikilelo / boitimo / boikgaogantšho,ho ila motabo / ho ila thobalano / ho ila moseme / ho itima motabo / ho itima thobalano / ho itima moseme,vhuḓibvisi / vhuḓiilisi,mpapalato,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_hiv_and_aids_terminology_5,abuse,misbruik,ukuhlukumeza / ukusebenzisa kabi / ukuxhaphaza,impatho-mbi / ukuxhaphaza,imphatfombi / kucaphata / kuphatsa kabi,ukutlhorisa,tshotlo / pogiso / kgokgontsho,tlhorišo / tshotlo / tšhomišompe / tšhomišobošaedi / tirišompe / tlaišo,tlhekefetso / tshotlo / tshebedio e mpe,vhutambudzi / vhushengedzi,nxaniso / ku tirhisa hi ndlela yo biha,see also sexual abuse / noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_hiv_and_aids_terminology_6,addict,verslaafde,ihuhwa / isigqila,umntu orhumrhekileyo / ixhoba leziyobisi,sihuci / sigcili,ikhobongo / ikghoba,lekgoba,lekgoba / molemadi / mofeteledi,lekgoba,phuli ya dzema,hlonga,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_hiv_and_aids_terminology_7,addiction,verslawing,ukuhuheka / ukugqilazeka,ukurhumrheka / ukubalixhoba leziyobisi,kugcilateka / buhuci / kugcilatwa tidzakamiva,ubukhobongo / ubukghoba,tshwakgogo / bokgoba / tirisompe,bokgoba / temalo / phetelelo,bokgoba,vhupuli ha dzema,vuhlonga,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_hiv_and_aids_terminology_8,adhere / comply,nakom / volg,-landelela,landela / thobela,landzela,-landela / -bambelela,tlhomama,obamela / latela,-mamela ditaelo,u tevhedza,landzelela,adhere to / comply with,treatment or prescription,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_hiv_and_aids_terminology_9,adherence / compliance,nakoming / navolging,ukulandelela,ukulandela / ukuthobela,kulandzela,ukulandela / ukubambelela,kobamelo / tlhomamo,kobamelo,ho mamela ditaelo / tsitlallelo,vhutevhedzi,nandzelelo,,to treatment or prescription,,,,,,,,,,,,,,,,,,,,
