id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_human_social_economic_and_management_sciences_terminology_0,absolute advantage,absolute voordeel,ukukhiqizakweva,isakhono sokuvelisa ngokwanelisayo kunabanye / isakhono sokuvelisa ngcono kunabanye,kukhicita ngebunyenti,ubungcono obupheleleko,tshiamelokgolo,bokgonitšweletšontši,tlhahisongata ka mehlodi e menyane / boipabolo tlhahisong,vhukonimveledzazwinzhi,andzisonyingi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_1,account,rekening,i-akhawunti,inkcazo-mali / i-akhawunti / inkcazelo-mali,sitatimendetimali / i-akhawunti,isitatimende se-akhawundi,tshupatlotlo,akhaonte,seteitemente sa akhaonte,tshitatamennde / mbalelano,nkota / akhawunti,,statement,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_2,account fees,rekeninggeld / rekeningfooi,izindleko ze-akhawunti / inkokhelo ye-akhawunti,imirhumo yee-akhawunti,tindleko te-akhawunti,iindleko ze-akhawundi,madisasefala / letlamelatshupatlotlo / madisatshupatlotlo,ditifišo tša akhaonte,ditefello tsa akhaonte,mbadelo dza tshumelo,tihakelo ta nkota / tihakelo ta akhawunti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_3,amortisation,amortisasie,isinciphisasikweletu,inkqubo yocutho-tyala,kubhadala kancane kancane / kubhadala ngesitolimende / kukhokha kancane kancane / kukhokha nesitolimende,ukubhadala ngesitolimende / ukubhadela ngesitolimende,tuelomolato,mokitlana / tefelo ka go kompetša,instolmente ya kadimo,u badela nga zwiṱuku nga zwiṱuku / u badela nga mutome,hakelo hi swiphemu,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_4,appreciation,appresiasie,ukhuphukobunani ngokwesikhathi,unyuko-maxabiso,kwenyuka kwebungakomali / kukhuphuka kwemandla emali / kwenyuka kwentsengo / kukhuphuka kwentsengo / kwenyuka kwemandla emali,ukwenyuka kwamandla wemali / ukwenyuka kwamandla wepahla,koketsegoboleng / kgoloboleng,kgolo ka boleng / kgolo ka theko,keketseho ya boleng / kgolo ya boleng,vhugonyandeme,engeteleko wa nxavo / engeteleko wa nkoka,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_5,arbitrage,arbitrage,ukuhweba,i-abhitraji / utshitshiso lwekhoyo ngefana nayo ngaxeshanye kusenziwa inzuzo,kutseng'utsengise,ukuthenga uthengise ipahla / i-abhatjhaji,thekothekiso,thekothekišo / go reka le go rekiša sammaletee,reka o rekisa,thengothengiswa,nxavonxaviso / nxavonxaviselohenhla,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_6,arrears,betalings / gelde,insalelokukhokha,ukuba semva ngentlawulo,kusalela emuva ngesikweleti,isikolodo esisaleleko / isikwelede esisaleleko,tshalelotuelo,tšhalelo ka tefelo,sekgothe / tshallomorao,malengelenge,tihakelondzhaku,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_7,asset,bate,ingcebo / impahla,i-asethi / impahla enexabiso,imphahla / umcebo / ingcebo,ipahla,thoto,thoto / letlotlo,thepa,ndaka / thundu,nhundzu / rifuwo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_8,auction,veiling / vendusie,indalikuncintisana,ifandesi / utshitshiso-mpahla ngexabiso eliphezulu kunabanye,indali yekubhidelwa / ifandesi / i-okshini,ifandisi / ifandesi,fantisi,fantisi,fantisi,fandisi / okusheni,fandisi / okixini / nxavomphikizano,noun,sale of e.g. wool,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_9,audit trail,ouditspoor,uhlamniningwano,umzila wophicotho-zincwadi / umkhondo wophicotho-zincwadi,umvila welucwaningomabhuku / umzila welucwaningomabhuku / tinyatselo telucwaningomabhuku,umtlhala weencwadi zeemali,tshupothuno,tlhakišo ya matlotlo / go oditha,thantsho ya bohlahlobi ba dibuka,vhuṱala ha odithi,ntila wa vuhleri / ntila wa oditi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_human_social_economic_and_management_sciences_terminology_10,balance,balans / bankbalans,ibhalansi,ibhalansi / intsalela,imali lekhona / ibhalansi,imali esebhanga / ibhalansi,maditshalelo / balanse,palantshe ka pankeng,balanse / masalla,tshelede tsalela,nsalo,noun,e.g. in bank account,,,,,,,,,,,,,,,,,,,,
