id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_mathematics_dictionary_r_to_6_0,abacus / counting frame,telraam,uhlaka lokubala / insizakubala / uqwembe lokubala,i-abhakhasi / uphahla lokubala / isihlohlo sobalo,luhlakakubala / sikhombisa bungako benombolo / i-abhakhasi,i-abhakhasi,kgatlatalama,sebalapalo / motheopalo / abakhase / mmadiphetana,abakhase,abakhasi / fureme ya u vhalela,abakhasi / xihlayelo,pl abaci,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_1,abbreviate,afkort,finyeza / finqa / nciphisa,finyeza / shunqula / yenza mfutshane,finyeta / fishanisa,rhunyeza,khutshwafatsa,khutsofatša,kgutsufatsa,-pfufhifhadza / u ṱukufhadza,komisa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_2,abbreviation,afkorting,isifinyezo,isifinyezo / isishunqulelo,sifinyeto / sifishaniso,isirhunyezo,khutshwafatso,khutsofatšo,kgutsufatso,pfufhifhadzo / u ṱukufhadza,nkomiso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_3,above,bo / bo-op,ngaphezulu / ngenhla,ngaphezulu / phezulu / ngasentla / ngentla,etulu / ngenhla / ngetulu,ngehla / ngaphezulu,godimo,ka godimo,ka hodima,nṱha ha,henhla ka,,space and position,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_4,abstract,abstrak,okungabonakali / okungathinteki / okusemcabangweni,engaphathekiyo / ekwingqiqo / eqikelelwayo,-ngaphatseki / -ngabonakali,-ngaphathekiko,segopolo,senaganwa / segopolwa,kgopolotaba,tshihumbulelwa,xianakanyiwa,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_5,acceptable,aanvaarbaar / aanneemlik,okuvumelekile / okwemukelekile,eyamkelekayo / ivumelekile / isemthethweni / isemgaqweni,-emukelekako / -emukeleka / -emukelekile,-amukelekako / -vumekako,amogelesega,amogelega / amogelegago,amoheleha,ṱanganedzea / u tendelwa,amukeleka,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_6,accessory / optional part,bykomstigheid,isengezelelo / isinazelo,isongezelelo / isincedisi / isixokomezelo / into osenokungayikhethi / into ozikhethelayo,selekeleli / incenye yekutikhetsela / insita / selekelelo,umkhambisani / isingezelelo,sediriswatlaleletsi,setlaleletši / seoketši,setlatseletsi,tshiengedzwa / tshishumiswa / tshipiḓa-engedza,xiphemu xo engetela,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_7,account,rekening,ulondolozomali / imali elondolozwayo,i-akhawunti,sikweleti / i-akhawunti,i-akhawundi,letlotlo,tšhupaletlotlo / akhaonte,akhaonte,akhaunthu,akhawunti / xikweleti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_8,accuracy,akkuraatheid / noukeurigheid,ukucophelela / ukuqikelela,ukuchaneka,kunemba,inembo,nepagalo,nepagalo,nepahalo,vhuronwane / zwa vhukuma-kuma,nkahoxeko / akhuresi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_9,accurate,akkuraat / noukeurig,cophelela / nembayo,ichanekile / -chanekileyo,-nembako,-nembako,nepagetse,nepagetšego / nepagala,nepahetse,zwa vhukuma / vhuronwane,hetiseka / akhureti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_10,accurate measurement,akkurate meting,isilinganisongqo,umlinganiselo ochanekileyo,silinganisi lesinembako,isimedo esinembako / isilinganiso esinembako,tekanyo e e nepagetseng,tekanyo ye e nepagetšego,mometho o nepahetseng,muelo wa vhukuma / wone-wone / wone / u kala ha vhukuma-kuma,mpimo wo hetiseka / mpimo wa akhureti,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_11,AC key / All Clear key,uitwissleutel,isicishanombolo / isicishambhalo,iqhosha le-AC / iqhosha lokucima / iqhosha i-AC,sifacatosesulo,ikunujana esula koke / ikunujana etjhidisa koke,konopophimodi-gotlhe,khii ya AC / khiiphumulatšohle,konopo ya AC,khii ya u thutha zwoṱhe,batheni yo sula ya AC,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_12,across,dwarsoor,vundla / ukuvundla,nqumlezileyo / ngaphaya / nqamlezileyo,-vundlako,buvundla / phetjheya,kgabaganya,putlaganya,ho kgabahanya,buḓa / matungo / u ya matungo,hingakanya,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_13,activate,aktiveer,khuthaza / khanyisa,yenza ukuba isebenze / yenza isebenze / chukumisa,enta kusebente / shukumisa,tharhulula / thanrhulula,tsosolosa,tšhuma / gotetša,kgwathatsa,nyanyula / funga,ku tlhontlha,,calculator,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_14,activity,aktiwiteit,umsebenzi,umsebenzi,umsebenti,umsebenzi / umsikinyeko,tiro,mošomo / modiro,mosebetsi,nḓowenḓowe / mushumo,nghingiriko,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_15,actual measurement,werklike meting,isilinganisoncamashi,umlinganiselo oyinqobo / umlinganiselo onguwo / umlinganiselo owenziweyo,kukala lokungiko / kumeda lokungiko,isilinganiso samambala,tekanyotota,kelo ya maleba / kelo ya nnete,mometho wa nnete,muelo wa vhukuma / u kala ha vhukuma-kuma,mpimo wa xiviri / mpimo wa ntiyiso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_16,actual number,werklike aantal / werklike getal,inombolongqo / inombolo yangempela,inombolo eyinqobo / elona nani lililo,inombolo mbamba,inomboro yamambala / inomboro ekungiyo,palotota,palo ya nnete,nomoro ya nnete,mbalo ya vhukuma / nomboro ya vhukuma,nhlayo ya ntiyiso / nhlayo ya xiviri,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_17,acute angle,skerphoek,igumbi elicijile / i-engele ecijileyo,iengile ebazileyo / i-atyhuthi engile,i-engeli lecijile / engelicija,iqondo elibukhali / i-engele ebukhali / i-engele enetlobo,khutlomotsu,khutlontlha,sekgutlontjhotjho,khuḓa thoswi / engeḽe ya ekhiyuthi,engele-ntsongo / yinhla yo tontswa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_18,add / give the sum of / give the total of,optel,hlanganisa,dibanisa,nika samba se,hlanganisa,tlhakanya,hlakanya / hlakantšha / efa palohlakantšhwa,kopanya,ṱanganya / ṋeani ṱhanganyelo ya / ṱanganyani,nyika nhlamulo-hlanganiso ya,symbol +,to calculate the total,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_19,add,byvoeg / bytel,engeza / nezela,yongeza / dibanisa,engeta / ngeta / hlanganisa,ngezelela,oketsa / tlhakanya,oketša / tlaleletša,eketsa,ṱanganya / -engedza,engetela / hlanganisa,,to put together with something else,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_20,addend,addend,isihlanganiswa / inombolo ezohlanganiswa,isongezi / inani elidityaniswe nelinye,sengeto / sihlanganiswa,inomborosihlanganiswa,palotlhakanngwa,palohlakanywa / palohlakantšhwa,sekopanngwa,ṱhanganywa / zwo ṱanganyiswa,engetela,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_21,addendum,addendum,isithasiselo / isengezo,isongezo / isixokomezelo,sengetelelo / sijotjelelwa,isingezeleli,mametlelelo,setlaleletši,sehlomathiso,tshiengedzwa,xihlanganisiwa,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_22,addition,optelling,ukuhlanganisa,udibaniso,kuhlanganisa / kwekuhlanganisa,ukuhlanganisa,tlhakanyo,go hlakantšha / tlhakanyo,ho kopanya,muṱanganyiso / u ṱanganyisa,ku hlanganisa / nhlanganiso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_23,additional,addisioneel,okwengeziwe / okuhlanganisiwe,okongeziweyo / eyongeziweyo,-ngetiwe,ngezelelako,tlaleletso,oketšago,-ekeditsweng,nyengedzedzo,xengetelwa,adjective,e.g. additional methods,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_24,addition calculation,optelberekening,ukubala ngokuhlanganisa,ubalo lokudibanisa,kubalakuhlanganisa,ukubalisisa kokuhlanganisa,palelotlhakanyo,palelotlhakantšho,ho kopanya,u shuma mbalo dza muṱanganyiso / u vhalela ha u ṱanganyisa,nkhakhuleto wa nhlanganiso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_25,addition sum,optelsom,isibalo sokuhlanganisa,isibalo sokudibanisa / amanani adityanisiweyo,sibalokuhlanganisa,isibalo sokuhlanganisa,palotlhakanyo,palo ya go hlakantšha,karabo ya ho kopanya,ṱhanganyelo / mbalo yo wanalaho musi ho ṱanganyiswa,nhlengelo wa nhlanganiso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_26,adjacent,aangrensend / aanliggend,uhlangothi oluseduze,icala elikufuphi / yamileyo,-hlalelene / -akhelene,-tjhideleneko / -hlaleleneko,-bapileng,bapa,bapileng,tsini na tsini,kusuhi,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_27,adjacent angle,aangrensende hoek / aanliggende hoek,igumbi elincikile / i-engele encikile,i-engile eyayamileyo,ema-engele lahlalelene,i-engele etjhideleneko / i-engele ehlaleleneko,khutlomabapi,khutlobapi,dikgutlo tse bapileng,engeḽe dza tsini na tsini / khuḓa dza tsini na tsini,engele ya le kusuhi / yinhla ya le kusuhi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_28,after,na,emva,emva,emuva / landzelako,ngemva kuka,morago ga,morago / ka morago,ka mora,nga murahu,ndzhaku ka,,space and position,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_29,after noon / p.m. / post meridiem,namiddag / nm.,emva kwemini / ntambama,emva kwemini / emalanga / ebusuku,emini yantsambama / ntsambama / p.m,ngemva kwamadina / ngemva kweminikulu,thapama,ka morago ga mosegare wa sekgalela,ka mora nyene,nga murahu ha masiari,nhlikanhi / nindzhenga,Abbreviation / Full form,time; from 12 o’clock in the middle of the day to 12 o’clock at night,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_30,afternoon,namiddag,ntambama,emva kwemini / emalanga,imphekabafati / selimatfunti / emvakwedina / ntsambama,malangantambama / malungantambama,tshokologo,thapama / manthapama / ka meriti,thapama,masiari,nindzhenga,,period between midday and evening,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_31,again,weer,futhi / phinda,kwakhona,futsi / phindza,godu,gape,gape,hape,hafhu,nakambe,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_32,alphabet,alfabet,uhluzinhlamvu / uhlu lwezinhlamvu,i-alfabhethi,tinhlavu / tinhlavu te-alfabhethi,abonobumba / i-alfabhethi,alefabete,alfabete,nteterwane / alfabete,aḽifabethe,alifabete,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_33,amount,hoeveelheid / bedrag,inani,ubungakanani / umyinge / umlinganiselo,linani,imbalo / inani,bokana,kgoboko / bokaalo,bokalo,ṱhanganyelo / tshivhalo,ntsengo,,,geld,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_34,analog clock,horlosie met wysers / analooghorlosie,iwashi lezinti,iwotshi ye-analog / iwotshi yosiba,liwashitintsi / liwashi le-analogi,iwatjhi ye-analogo,tshupanako,sešupanako sa manakana,watjhe ya manaka,watshi ya vhutanda,wachi ya analog,United States,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_35,angle,hoek,igumbi / i-engela,i-engile,i-engeli,iqondo / i-engele / ihugu,sekhutlo,khutlo,sekgutlo,engeḽe / khuḓa,yinhla / engele,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_36,another,‘n ander / nog ‘n,okunye,enye,lokunye,okhunye,-ngwe,-nngwe,e nngwe,-ṅwe,-n’wana,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_37,answer,antwoord,umphumela / isixazululo,impendulo / isiphumo / isisombululo,imphendvulo / umphumela / sisombululo,ipendulo / isirarululo,karabo,karabo,karabo,phindulo,ansara / nhlamulo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_38,anticlockwise,antiklokgewys,inhlehlanyovane sawashi,ejikelezela ngasekhohlo,umjikeletosencele,phambene nomzombe wewatjhi,go ya molemeng,mpogošong,motjhetjho wa watjhe,monela murahu,xindzhakundzhaku,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_39,any key,enige sleutel,noma iyiphi inkinobho,naliphi na iqhosha,nobe siphi sifacato,enye nenye ikunujana,konopo nngwe le nngwe,khii efe goba efe,konopo efe kapa efe,khii iṅwe na iṅwe,batheni yin’wana ni yin’wana,,computer or calculator,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_40,any number,enige nommer,noma iyiphi inombolo,naliphi na inani,nobe yiphi inombolo,enye nenye inomboro,palo nngwe le nngwe,nomoro efe goba efe / palo efe goba efe,palo efe kapa efe,nomboro iṅwe na iṅwe,nomboro yin’wana ni yin’wana,,,,,,,,,,,,,,,,,,,,,,
