id,eng,afr,zul,xho,ssw,nbl,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info
dsac_natural_science_and_technology_term_list_nguni_languages_0,abdomen,abdomen,isisu / inxasisu,amanqe / amazants’esisu,sisu,isisu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_1,absorb,absorbeer,-munca / -donsa / -habula,ukufunxa / ukutsala,munya,ginya / munya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_2,absorption,absorbering / absorpsie,ukumunca / ukudonsa / ukuhabula,ufunxo / utsalo,kumunya,ukuginya / ukumunya,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_3,acacia,akasia,umkhambathi / umunga,iintlobo zeminga,singa,i-akhatjhiya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_4,access,toegang,okuvumeleka / ukukwazi ukungena / ukugunyazwa / ukufinyelela,ukungena kwikhompyutha / okuvula ikhompyutha,imvume / kutfola indlela,ilungelo,noun,computers,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_5,access,toegang verkry,-vumeleka / -ngena / -finyelela / -gunyaza,ukungena / okuvula,vumeleka / ngena,fikelela,verb,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_6,accumulate,ophoop / akkumuleer,-qongelela / -andisa,ukunyusa / ukukhulisa,congelela / butsela,buthelela / anda,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_7,accumulator,akkumulator / opgaarbattery,isigcinamlilo / ilahle likagesi,ibhetri / isigcini-mbane,sicongeleli / sibutseligezi,isimumathimlilo,,battery,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_8,accumulator,akkumulator,isigcinalwazi,isigcini-lwazi sekhompyutha,sicongeleli,isilulumbalo,,computer,,,,isiqoqelilwazi,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_9,accurate,akkuraat / noukeurig,-ngqo / -nembayo / -shayakhona,chanekile,-nembako,-nembako,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_10,acid,suur,uketshezi olushisayo / i-esidi,iasidi,mamunywane / i-esidi,isidlavuzi / i-esidi,noun,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_11,acid rain,suurreën,imvula ene-esidi,imvula eneasidi,imvula lene-esidi,izulusidlavuzi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_12,acrylic paint,akrielverf,upende oxutshwa namanzi / upende osebenzisa amanzi,ipeyinti enesiseko esingamanzi engasukiyo,ipendi yemanti,ipende yamanzi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_13,acrylic resin,akrielhars,ingxube yokwenza upulastiki / ingxube yokwenza ucwazi / inhlama yokwenza ucwazi / inhlama yokwenza upulastiki,intlaka yokwenza iplastiki,i-akhrayiliki resini,ikghomu yokuzenzela,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_14,additive,bymiddel,isinongo,isinongi,sinongo,isinungo,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_15,adhesive,kleefmiddel,inomfi,isincamathelisi,sinamatselisi,-namathiselako / inovu,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_16,adventitious root / fibrous root / bushy root,bywortel,impandemxhantela,ingcambu ehlakahlaka,imphandzechakela,umrabhu otantelako / umrabhu orarelako,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_17,aeroplane,vliegtuig,ibhanoyi / indiza,inqwelomoya,indizamshini,isiphaphamtjhini / uflayi,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_18,agent,agens,isiguquli / isididiyeli,isiguquli,siguculi / sintjintjabunjalo,isenzisi,,e.g. chemical,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_19,agricultural product,landbouproduk,umkhiqizo wezolimo,imveliso yolimo,umkhicito wetekulima,ivezo lezokulima,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_20,agriculture,landbou,ezolimo,ezolimo / ulimo,tekulima,umsebenzi wokulima,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_21,air,lug,umoya,umoya,umoya,ummoya,,,,,,,,,,,,
dsac_natural_science_and_technology_term_list_nguni_languages_22,air bubble / bubble,blasie / lugblasie,igwebu,iqamza,ligwebu,igwebu,noun,,,,,,,,,,,
