id,eng,afr,tsn,nso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_natural_sciences_and_technology_dictionary_sotho_0,abdomen,abdomen,mpa,mpa,mpa,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_1,absorption,absorbering / absorpsie,monyelo,kgamolo / momo / khupo / kanyo,ho monya / ho monyela,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2,acacia,akasia,sika lootlharemmitlwa,mošwana,leoka,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_3,access,toegang,botseno,tseno / tumelelo / phihlelelo / khwetšo,phihlello,noun,computers,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_4,access,toegang verkry,go tsena,humana / tsena / dumelela / fihlelela,fihlella,verb,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_5,accumulate,ophoop / akkumuleer,kokotlela / kokotletsa,kgobela / kgoboketša / kgobokanya / kgobokantšha,bokella,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_6,accumulator,akkumulator / opgaarbattery,sekokotletsi sa motlakase,sekgobedi / sekgoboketši / sekgobokanyi,sebokelli,,battery,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_7,accumulator,akkumulator,segatisatiriso ya porogerama,sekgobelo / bokgobelo,sebokelli,,computer,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_8,accurate,akkuraat / noukeurig,nepagetse,nepagetšego / nepagalago,nepahetse,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_9,acid,suur,esiti,esiti,esete / esiti / asiti,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_10,acid rain,suurreën,pulatlhole,pula ya esiti,pula e esiti,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_11,acrylic paint,akrielverf,pente ya akereliki,pentemeetse / pente ya akhreliki,pente ya metsi,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_12,acrylic resin,akrielhars,borekhu jwa akereliki,borekhu bja akhreliki,boroku,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_13,additive,bymiddel,setswaki,setswaki,seeketswa,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_14,adhesive,kleefmiddel,semamaretsi / sekgomaretsi,sekgomaretši / semometši / segomaretši,sekgomaretsi / semamaretsi,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_15,adventitious root / fibrous root / bushy root,bywortel,moditlhale / modikgopo,moduboyana / muduntšhuhlana / modusehlogakabontši,mothatswana / mothapo o sehlahla,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_16,aeroplane,vliegtuig,sefofane,sefofane / folayematšhene,sefofane,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_17,agent,agens,phetodi,sefetoši,sefetodi,,e.g. chemical,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_18,agricultural product,landbouproduk,kungo ya setemothuo,setšwatemong / setšwatemothuong,sehlahiswa sa temo / sehlahiswa sa temothuo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_19,agriculture,landbou,temothuo,bolemi / bolemirui,temo / temothuo,,,,,,,,,,
