id,eng,afr,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_natural_sciences_and_technology_for_grade_4_to_6_0,abdomen,abdomen,thumbuthumbu,khwiri,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_1,absorb,absorbeer,tzwonzwa / nwa,tswonga,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_2,absorption,absorbering / absorpsie,mutzwonzwo / munwelo,ntswongo,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_3,acacia,akasia,muunga,nkonde / munga / muluwa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_4,access,toegang,tswikelo,mpfumelelo / mfanelo / ku nghena / mfikelelo,noun,computers,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_5,access,toegang verkry,-swikela,pfumelela / nghena / fikelela,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_6,accumulate,ophoop / akkumuleer,kuvhanganya / kuvhangana / engedza / khokha,hlengeleta,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_7,accumulator,akkumulator / opgaarbattery,tshikuvhanganyi,xihlengeleta-gezi / xihlayisa-gezi,,battery,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_8,accumulator,akkumulator,akhumuḽeitha,rhijisitara-xikhomphyuta / rhijisitara-xikhomphyutara,,computer,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_9,accurate,akkuraat / noukeurig,kwakwakwa / -one,khaqa! / xonaxona / kwatsa!,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_10,acid,suur,esidi,rimunywana / asidi / esidi,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_11,acid rain,suurreën,mvula ya esidi,mpfula asidi / mpfula rimunywana / mpfula esidi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_12,acrylic paint,akrielverf,pennde ya akhreḽiki,pende-mati,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_13,acrylic resin,akrielhars,ṋonzhe ya akhreḽiki,xivumba-pulasitiki,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_14,additive,bymiddel,tshiengedzwa,xiengetelo / xinyunyetelo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_15,adhesive,kleefmiddel,tshinambatedzi,xidamarheti / xinamarheti / xinamaketi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_16,adventitious root / fibrous root / bushy root,bywortel,mudzivudzi,rimitsu-navalala,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_17,aeroplane,vliegtuig,ṱharabuḽei / bufho,xihaha-mpfhuka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_18,agent,agens,tshishandukisi,xivangi / xihundzuri,,e.g. chemical,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_19,agricultural product,landbouproduk,tshibveledzwa tsha vhulimi,xirin’wa / xikumiwa xa vufuwi / xifun’wa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_20,agriculture,landbou,vhulimi,vurimi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_21,air,lug,muya / mufhe,moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_22,air bubble / bubble,blasie / lugblasie,bulo,ximbyarumbyaru,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_23,air-conditioning,lugversorging,ndango ya muya,xilawula-mahiselo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_24,aircraft,lugvaartuig,bufho,xihahampfhuka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_25,air current,lugstroom,lutsinga lwa muya,moya-nkhuluko,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_26,air-cushion,lugkussing,khushini ya muya / tshisiamelo tsha muya,xikhigelo-moya / xiseketelo-moya / xinkwamana-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_27,air drill,druklugboor,vhoro ya muya,borho-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_28,air flow,lugstroming,nyelelo ya muya,nkhuluko-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_29,air pollution,lugbesoedeling,tshikafhadzo ya muya,nthyakiso-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_30,airport,lughawe,vhukavhamabufho / vhukavhaṱharabuḽei,vuyima-swihahampfhuka / vuhahisela-swihahampfhuka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_31,air receiver,lughouer,tshiṱanganedzamuya,xitamela-moya / xiamukela-moya,,technology,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_32,air reservoir,lugreservoir,tshifaramuya,xihlayisa-moya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_33,airtight,lugdig,-valaho muya,xo alela moya / xo tsimba moya / xo fundza moya,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_34,albatross,albatros,aḽibetrosi,alibatirosi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_35,alcohol,alkohol,aḽikhohoḽi,xihoko,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_36,alcoholic drink,alkoholiese drank,tshikambi,xinwiwa xa xihoko,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_37,alkali,alkali,alkaḽi,kalaka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_38,alkaline,alkalies,-alkaḽaini,xa kalaka,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_39,alligator,alligator / kaaiman,ngweṋa / aḽigeitha,aligetara,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_40,alloy,allooi / legering,aḽoyi,aloyi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_41,aloe,aalwyn,tshikhopha / bindamutshe,mhangana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_42,aloe flower,aalwynblom,dzuvha ḽa tshikhopha / dzuvha ḽa bindamutshe,xiluva xa mhangana,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_43,alternating current,wisselstroom,lutsingaṱhanḓukanyi / lutsingatsielisani,nkhuluko-cincacinco,,electricity,,,,,,wa gezi
dsac_natural_sciences_and_technology_for_grade_4_to_6_44,altitude,hoogte,vhunṱha,vutlakuki,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_45,aluminium / Al,aluminium / Al,aḽuminiamu,aluminiyamu / alamini,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_46,ammeter / amperemeter,ammeter / ampèremeter,amitha,xipima-nkhuluko,,electricity,,,,,,wa gezi
dsac_natural_sciences_and_technology_for_grade_4_to_6_47,ammonia,ammoniak,amonia,amoniya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_48,ammonium chloride,ammoniumchloried,kuḽoraidi ya amonia,tlilorayidi-moniya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_49,ammonium nitrate,ammoniumnitraat,naiṱreithi ya amonia,nayitireyiti-moniya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_50,amp / ampere,ampère,empere,empe,,electricity,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_51,amphibian,amfibie,tshitshilahuvhili / amfibia,xihanya-matini ni le handle / amfibiya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_52,amplifier,versterker,khudzamubvumo,xikurisa-mpfumawulo / ximbvungunyisi / amburufaya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_53,anaemia,bloedarmoede / anemie,ṱhahelelo ya malofha / anemia,vukalangati / anemiya,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_54,anatomy,anatomie,anathomi / ngudamuvhili,ntivo-swirho / anathomi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_55,anchor,anker,thikho / tshiimisi,nkuleko / nkhungo / nsoma,noun,shipping,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_56,anchor,anker gooi,ima / -imisa,kuleka / boha / khunga,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_57,angle,hoek,engele / khuḓa,yinhla / engele / nhlohlwe / khona,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_58,anhydrous,anhidries,-omaho,xo kala mati / xo hava mati / xo pfumala mati,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_59,animal,dier,phukha,xiharhi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_60,animal manure,mis,mupfudze wa phukha,quva,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_61,animal skin,huid / vel,mukumba,dzovo / xikhumba,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_62,annual plant,eenjarige plant,tshimela tsha ṅwaha,ximila-nguvayin’we,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_63,anode,anode,anoudu,anodi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_64,ant,mier,lusunzi / sunzi,risokoti / nsokoti / vusosa / vusokoti,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_65,antelope / buck,wildsbok,mbavhala,mhala,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_66,antenna,antenne / voeler,tshiphuphuledzi,xiambamberi / xitwi / xitembi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_67,antenna / aerial,antenne / lugdraad,tshiphuphuledzi,xiambamberi / xitwi / xitembi,,of radio,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_68,anther,helmknop / anter,vudzivula,mfuku-rivandza,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_69,ants’ nest,miernes,tshiṱaha tsha masunzi,xisaka xa vusokoti,,,,,,,,
