id,eng,afr,xho,ssw,nbl,nso,ven,tso,sot,tsn,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info
dsac_pharmacy_first_edition_0,abdominal,abdominaal / abdominale / buik-,-namazantsi esisu,-phatselene nesisu,-phathelene namathumbu / -phathelene nendeni,-mpa,thumbuni,-byeke,,,adjective,anatomy,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_1,abdominal cavity,abdominale holte / buikholte,isiqulathimbilini,sigcinitibilini / sicukatsitibilini,isimumathimathumbu / isimumathindeni,lešobampa / phagompa,thumbuthumbu,baku ra byeke,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_2,abrasion,skaafplek / skaafwond,umkrwelo,umhubuko,umrhuzuko / umrhubuko,kgobogo,mukhuvhulane,ntshwumuko,,,,medical,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_3,acetone,asetoon / dimetielketoon,iasethoni,i-asethoni,i-asethoni,asethoune,asethouni,asethoni,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_4,acid indigestion,sooibrand,isitshisa / isilungulela,silungulela,ukuthonta kwe-esidi ngokweqileko,seokelela,tshayatsukanyo ya dungi / tshayatsukanyo ya esidi,nkampfuvelo wa asidi / nkanghayelo wa asidi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_5,acne,aknee,amaqhuqhuva okufikisa,emajiji / ematjitji,amathuthuva wokugula / amajiji wokugula,dithala,vhupunduphundu,swidlanhlangana / swibundzwana / swirhumbana,,,,bacterial infection,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_6,acquired deformity,verworwe misvorming,ubulima ongazalwanga nabo,bunkhubela,ubuqhwala / ukukhubazeka,kgolofalo,vhuholefhali ho tou ḓaho,vulamari / vugonoki,,,,condition contracted after birth,,,,,,,,,,,,,,a ri amukeleki,,,,
dsac_pharmacy_first_edition_7,acrylate,akrilaat,iakhrileyithi,i-akhrayilathi,i-akhrileyithi,akhrileiti / akhirileiti,akhrilethi,akhirileti,,,,used in e.g. taste masking,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_8,active pharmaceutical ingredient / API,aktiewe farmaseutiese bestanddeel / aktiewe bestanddeel,undoqochiza kumxube / undoqoyeza kumxube,likhambingco,isithako esiyisika,motswakokgolo,thimbyana dza mushonga dzi no shuma,xicincavutitwi emirini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_9,acupuncture,akupunktuur,iatyhuphanktsha / unyango ngeenalitana,kwelapha ngemutsitinsungulo / i-akhuphansha,ukulumeka / i-akhyuphantjha,go lomega / tomego / akhuphantšha,akhuphantsha,mphulo / ku lumeka / ku tlhavela,,,,,,,,,,,,,,,,,,,,,,
