id,eng,xho,eng_pos_or_descriptor,eng_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info
uct_isiXhosa_economics_glossary_0,Exchange rate overshooting,ukunyuka ngokugqithileyo kwezinga lotshintshiselwano,Where a fall (or rise) in the long-run equilibrium exchange rate causes the actual exchange rate to fall (or rise) by a greater amount before eventually moving back to the new long-run equilibrium level.,,,
uct_isiXhosa_economics_glossary_1,Exchange rate regime,ulawulo lwezinga lotshintshiselwano,The system under which the government allows the exchange rate to be determined.,,,
uct_isiXhosa_economics_glossary_2,Exchange rate: real,izinga lotshintshiselwano: ngokwexabiso elichanekileyo,"A country's exchange rate adjusted for changes in the domestic currency prices of its exports relative to the foreign currency prices of its imports. If a country's prices rise (fall) relative to those of its trading partners, its real exchange rate will rise (fall) relative to the nominal exchange rate.",,,
uct_isiXhosa_economics_glossary_3,Exchange-rate appreciation,ukunyuka kwexabiso lezinga lotshintshiselwano,An increase in the value of a nation's currency in foreign exchange markets; an increase in the rate of exchange for foreign currencies.,,,
uct_isiXhosa_economics_glossary_4,Exchange-rate depreciation,ukwehla kwexabiso lezinga lotshintshiselwano,A decrease in the value of a nation's currency in foreign exchange markets; a decrease in the rate of exchange for foreign currencies.,,,
uct_isiXhosa_economics_glossary_5,Exchange-rate determinant,isimiselizinga lotshintshiselwano,Any factor other than the rate of exchange that determines a currency's demand and supply in the foreign exchange market.,,,
uct_isiXhosa_economics_glossary_6,Excise tax,irhafumveliso yasekhaya,A tax levied on the production of a specific product or on the quantity of the product purchased.,,,
uct_isiXhosa_economics_glossary_7,Excludability,isimiselikubekelwa sabakhethekileyo; isibekelikufumaneka sabakhethekileyo,A measure of how easy it is for someone to be prevented from consuming a good. This is used for classifying public goods.,,,
uct_isiXhosa_economics_glossary_8,Exclusive unionism,"umanyanobasebenzi ngokweenkalo,",The practice of a labour union of restricting the supply of skilled union labour to increase the wages received by union members; the policies typically employed by a craft union.,,,
uct_isiXhosa_economics_glossary_9,Exhaustive Expenditure,inkcitho karhulumente kwezoluntu,An expenditure by government resulting directly in the employment of economic resources and in the absorption by government of the goods and services those resources produce; a government purchase.,,,
uct_isiXhosa_economics_glossary_10,Exit mechanism,indlela yokuphuma; isicwangciso sokuphuma,The process of leaving a job and searching for another one as a means of improving one's working conditions.,,,
uct_isiXhosa_economics_glossary_11,Exogenous money supply,unikelomali olungasekelwanga kwizidingo,Money supply that does not depend on the demand for money but is set by the authorities.,,,
uct_isiXhosa_economics_glossary_12,Exogenous variable,isichaphazelimodeli yezoqoqosho; isichaphazelinguqu kwimodeli yezoqoqosho,A variable whose value is determined independently of the model of which it is part.,,,
uct_isiXhosa_economics_glossary_13,Expanding industry,ushishino olukhulayo,An industry whose firms earn economic profits and for which an increase in output occurs as new firms enter the industry.,,,
uct_isiXhosa_economics_glossary_14,Expansion path,indlela yokwanda,The line on an isoquant map that traces the minimum-cost combinations of two factors as output increases. It is drawn on the assumption that both factors can be varied. It is thus a long-run path.,,,
uct_isiXhosa_economics_glossary_15,Expansionary fiscal policy,umgaqonkqubo wolwandisomali karhulumente,"An increase in government purchases of goods and services, a decrease in net taxes, or some combination of the two for the purpose of increasing aggregate demand and expanding real output.",,,
uct_isiXhosa_economics_glossary_16,Expectations,okulindelekileyo,"The anticipations of consumers, firms, and others about future economic conditions.",,,
uct_isiXhosa_economics_glossary_17,Expectations-augmented Phillips curve,igophe likaPhillips lolwandiso lokulindelekileyo,A (short-run) Phillips curve whose position depends on the expected rate of inflation.,,,
