id,eng,xho,eng_pos_or_descriptor,eng_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info
uct_isiXhosa_statistics_glossary_0,Abscissa,abhusisa; isinqamlezisi,1.The horizontal or x-coordinate of a point in a Cartesian plane.,,1.Ukunqamleza okanye indawo elungeleleneyo engu-x kumgangatho othe tyaba we-Cartesian. umgama ophakathi ko-x no-y.,
uct_isiXhosa_statistics_glossary_1,Absolute frequency Absolute frequency,uphindaphindo olugqibeleleyo,"example of 1 / 1.The count or number of individual elements observed in a group or class. 2.The number of occurrences of an event; for example, in 100 tosses of a die, the absolute frequency of odd numbers may be 47.",,"1.Ubalo okanye inani lezakhi ezizimeleyo elibonwa kwiqela okanye udidi. 2.Inani lezenzeko zesiganeko; umzekelo, kwimijulo eli-100 yedayisi, uphindaphindo olupheleleyo lokwenzeka lwamanani angumqakathi lunokuba ngama-47.",
uct_isiXhosa_statistics_glossary_2,Absolute value,umlinganiselo wesithuba opheleleyo,1.The distance of a number from 0 on the number line. Absolute values are also called numerical values.,,1.Umgama wenani ukusuka ku-0 kumgca-manani. Amaxabiso apheleleyo nawo kananjalo abizwa amaxabiso amanani.,
uct_isiXhosa_statistics_glossary_3,Accuracy Accuracy,ukuchaneka; uchaneko,example of 5 / 1. The degree of closeness between a numerical quantity measured or calculated to its actual value. 2.The level of accuracy of a measurement is the number of significant digits.,,1.Iqondo lokusondelelana phakathi kobuninzi benani obulinganisiweyo okanye elibalwe ukuya kwixabiso lalo lokwenene. 2.Umgangatho wokuchaneka komlinganiso linani lemivo ebalulekileyo.,
uct_isiXhosa_statistics_glossary_4,Acute angle,atyhuthi engile; iengile ebazileyo; imbombo ebazileyo,1.Any angle with measure less than ninety degrees.,,1.Nayiphi na iengile enomlinganiso onganeno kwamaqondo angamashumi asithoba.,
uct_isiXhosa_statistics_glossary_5,Addition,udibaniso; ukudibanisa,"1.A mathematical operation resulting in the sum of two numbers, usually indicated by a plus (+) sign.",,"1.Ukubala kwemathematika (kwezibalo) okunesiphumo kudibanoso lwamanani amabini, okuboniswa ngokuqhelekileyo ngophawu lokudibanisa (+).",
uct_isiXhosa_statistics_glossary_6,Additive,isongezo,1.Relating to addition (adjective).,,1.Ngokunxulumene nodibaniso (isiphawuli),
uct_isiXhosa_statistics_glossary_7,Additive inverse,Isiguqulisongezo; edithivu invesi,1.The number or value obtained by change of sign: e.g. +3 and -3; +xy and -xy.,,1.Inani lexabiso elifunyenwe ngokuguqula uphawu: umz. +3 no -3; +xy no -xy,
uct_isiXhosa_statistics_glossary_8,Adjusted variance of the mean,ulungelelaniso lomahluko kumyinge,1.Variance of sample means from a finite population when sampling without replacement.,,1.Ukungevani kwee-avareji zesampulu evela kwinani lezinto ezinesiphelo xa kuthathwa ilunga lesampulu ngaphandle kokufaka elinye endaweni yayo.,
uct_isiXhosa_statistics_glossary_9,Algebra,aljibhra,"1. The use of symbols, usually letters, to represent numbers so that the numbers can be manipulated without stating their values.",,"1. Ukusebenzisa imiqondiso, ngokuqhelekileyo oonobumba, ukumela amanani ukuze amanani abenokusetyenziswa ngobuchule ngaphandle kokuxela amaxabiso awo.",
uct_isiXhosa_statistics_glossary_10,Angle,iengile; imbombo,1. A structure comprising two rays with a common endpoint.,,2. Isakhiwo esinemigca emibini enencam efanayo.,
uct_isiXhosa_statistics_glossary_11,Approximation,uqikelelo,2. A near but not exact equality.,,2. Ukulingana okuphantse kufane kodwa hayi ngqo.,
uct_isiXhosa_statistics_glossary_12,Axis,eksisi; umgca ohamba embindini,2. A line around which a solid rotates.,,2. Umgca lowo isolithi ijikeleza kuwo.,
uct_isiXhosa_statistics_glossary_13,Bar chart,ibhatshathi,1. A diagram which consists of vertical rectangular bars. The bars are constructed to have areas that are proportional to the observed frequencies of values in the intervals on which they stand.,,1. Umzobo oquka izitena (iibha) ezimi nkqo ezifana noxande. Izitena zakhiwe ukuba neendawo ezinolwalamano namaxabiso aphindaphindwayo abonwayo kwizikhewu ezimi phewu kwazo.,
uct_isiXhosa_statistics_glossary_14,Bar graph,bhagrafu,1. A diagram which consists of vertical rectangular bars. The bars are constructed to have areas that are proportional to the observed frequencies of values in the intervals on which they stand.,,1. Umzobo oquka izitena (iibha) ezimi nkqo ezifana noxande. Izitena zakhiwe ukuba neendawo ezinolwalamano namaxabiso aphindaphindiweyo abonwayo kwizikhewu ezimi phezu kwazo.,
uct_isiXhosa_statistics_glossary_15,Base,isiseko,"1. A number or expression to be raised to a power. In the expression x2, x is the base and 2 is the power. / 2. The lowest or bottom side of a plane figure, or bottom face of a solid.",,"1. Inani okanye umboniso wokunyuselwa kuphindaphindo lwenani. Kumboniso we- x2, u-x sisisekelo yaye u-2 kukuziphindaphinda kwenani. / 2. Elona cala lisezantsi okanye umphantsi wesazobe esithe tyaba, okanye ubuso bomphantsi wento eqinileyo.",
uct_isiXhosa_statistics_glossary_16,Baseline,isiqalelo; intsusela,1. A standard used for comparison in a study or an experiment.,,1. Umgangatho osetyenziswayo wokuthelekisa kuphononongo okanye kumfuniselo.,
uct_isiXhosa_statistics_glossary_17,Bias,ukutenxa,1. Misrepresentation of structure or of measurements,,1. Ukukhetha icala kwisakhiwo okanye umlinganiselo .,
uct_isiXhosa_statistics_glossary_18,Binomial,bhayinomiyali,1. An algebraic expression with two distinct terms which may not be further simplified. / 2. A polynomial with two terms.,,1. Umboniso we-aljebra onamabinza amabini acacileyo angenakho ukwenziwa kucalulwa ngaphazu koko. / 2. ipholinomiyali enamabinza amabini,
uct_isiXhosa_statistics_glossary_19,Binomial approximation,uqikelelo lwebhayinomiyali,1. Use of a binomial distribution to approximate probabilities in a hypergeometric distribution.,,1. Ukusebenzisa usasazo lwamagama amabini ukusondeza izinto ezinokwenzeka kusasazo lwejometri enkulu.,
uct_isiXhosa_statistics_glossary_20,Binomial coefficient,ibhayinomiyali esisigxina,"1. Any numerical factor that multiplies the successive terms in the expansion of an expression of the form (x+a)n, for integral n, in accordance with the binomial theorem.",,"1. Nayiphi na ifektha yenani ephindaphinda amagama alandelelanayo ekwandiseni imbonakalo yohlobo lwe-(x+a)n, ukwenzela u-n ofunekayo, ngokwetheyorem yamagama amabini.",
uct_isiXhosa_statistics_glossary_21,Binomial distribution,usasazeko lwebhayinomiyali,1. A statistical distribution giving the probability of obtaining a specified number of successes in a binomial experiment.,,1. Usasazo lwenkcukacha-manani olunika into enokwenzeka yokufumana inani elilodwa lwamalandelelwano kumfuniselo wamabinza amabini.,
uct_isiXhosa_statistics_glossary_22,Binomial process,inkqubo yebhayinomali,1. A sequence of observations from a binomial distribution.,,1. Ulandelelwano lweziphumo zovavanyo losasazo lwamabinza-mabini.,
uct_isiXhosa_statistics_glossary_23,Bivariate,bhayivariyethi,2. Consisting of two variables (adjective).,,2. Okunezimeli-manani ezimbini (isiphawuli),
uct_isiXhosa_statistics_glossary_24,Box-and-whisker plot,umzobo wosasazekomanani,"1. A diagram that is used to illustrate measures of location and spread of a data set against a common axis; e.g. median, quartiles and range.",,"1. Umzobo osetyenziswa ukubonisa imilinganiso yendawo nokusasazeka kwedata ebekwe ngokuchasene nomgca oqhelekileyo osembindini; umz.,umbindi, iziqingatha noluhlu.",
uct_isiXhosa_statistics_glossary_25,Cartesian coordinates,ulwamanisomanani ngokweCartesian,"1. Pairs of numbers that uniquely identify positions of points in a Cartesian plane, usually represented by x and y for horizontal and vertical positions respectively.",,"1. Iperi (isibini) yamanani achonga ngokukhethekileyo iincam zeendawo kwisityaba seCartesian, ngokwesiqhelo amelwe ngu-x no-y ukwenzela iindawo ezinqamlezileyo nezimi nkqo ngokulandelelana.",
uct_isiXhosa_statistics_glossary_26,Cartesian plane,isityaba seCartesian,1. A two-dimensional space whose points are identified by their horizontal and vertical coordinates.,,1. Isithuba semilinganiso emibini eso iincam zaso zichongwa zizilungelelanisi zazo ezinqamlezayo nezimi nkqo.,
uct_isiXhosa_statistics_glossary_27,Case,indibanisela yeenkcukacha,"1. A set of all observations on variables from a single observational unit, e.g. height, weight, age and eye-colour of a particular person.",,"1. Isethi yazo zonke iingqwalaselo kwizinto ezitshintshayo ukusuka kwiyunithi eyodwa yokuqwalasela, umz., ubude, ubunzima, ubudala nombala wamehlo omntu othile.",
uct_isiXhosa_statistics_glossary_28,Categorical data,iinkcukacha ezingengomanani,1. Data values or observations recorded as membership of mutually exclusive categories or classes.,,1. Amaxabiso edata okanye iingqwalaselo ezirekhodwe njengobulungu beendindi okanye imigangatho ekhetheke ngokufanayo.,
uct_isiXhosa_statistics_glossary_29,Census,ubalobantu,1. An organised process seeking to obtain qualitative or quantitative data from all members of a population. (See sample survey.),,1. Inkqubo elungiselelweyo efuna ukufumana idata yobulunga okanye yobuninzi ukuvela kuwo onke amalungu abemi. (Jonga isampulu yovavanyo).,
uct_isiXhosa_statistics_glossary_30,Central limit theorem,sentrali-limithi thiyorem; usasazekosampuli oluqhelekileyo,"1. A theorem of statistics which shows that the distribution of the sample means, though each is obtained using observations from the same arbitrary random variable, will tend to follow a normal or Gaussian distribution. This approximation improves as sample size increases.",,"1. Itheyorem yenkcukacha-manani ebonisa ukuba usasazo lwemindilili yesampulu, nangona nganye ifunyenwe ngokusebenzisa iingqwalaselo ezivela kutshintsho olufanayo lokuzithandela olungahlelwanga, iya kuthambekela ukulandela usasazo lwesiqhelo okanye lwe-Gaussian. Olu qikelelo luyaphucuka njengoko isayizi yesampulu isanda.",
uct_isiXhosa_statistics_glossary_31,Centre of symmetry,umbindi wolinganomacala,1. A point around which a curve is symmetrical.,,1. Incam apho ukujikeleza kwegophe kunamacala alinganayo.,
uct_isiXhosa_statistics_glossary_32,Chi-squared distribution,Chi-sikhwensi distribyushini; usasazekozinkcukacha lweChi,"1. A continuous one-parameter non-symmetric distribution, used in measuring goodness of fit, in hypothesis testing and in obtaining confidence intervals for the variance of a normally distributed random variable.",,"1. Usasazo oluqhubekayo lobuninzi obungatshintshiyo lwamacala angalinganiyo, olusetyenziswa ukulinganisa ukulunga kokufaneleka, kwengcinga eyandulela uvavanyo kuvavanyo lwengcinga nasekufumaneni izikhewu zentembeko zokwahlukahlukana kotshintsho lokungevani kwesimeli-manani esinosasazo oliqhelekileyo.",
uct_isiXhosa_statistics_glossary_33,Chord,khodi; umgca ocanda isangqa,1. The line segment connecting two given points on a circle.,,1. Ilungu lomgca odibanisa iincam ezimbini ezinikiweyo kwisangqa.,
uct_isiXhosa_statistics_glossary_34,Circle,isangqa,1. The set of all points in a plane at a given distance (the radius) from a fixed point (the centre).,,1. Isethi yazo zonke iincam kwisityaba kumgama onikiweyo (ireyidiyasi) ukusuka kwincam ezinzisiweyo (umbindi).,
uct_isiXhosa_statistics_glossary_35,Circle interior,umphakathi wesangqa,"1. The set of all points interior to a circle, with smaller distance from the centre than the radius length.",,"2. Isethi yazo zonke iincam zomphakathi wesangqa, nomgama omncinci ukusuka kumbindi kunobude bereyidiyasi.",
uct_isiXhosa_statistics_glossary_36,Circumference,ubungakanani besangqa,"2. The distance around a circle, the length of the perimeter.",,"2. Umgama ukujikeleza isangqa, ubude bomjikelezo.",
uct_isiXhosa_statistics_glossary_37,Class,udidi,"1. A group of observed numerical observations, defined by each of a convenient set of intervals covering the entire range of values.",,"1. Iqela lemiqwalaselo yamanani eliqwalaselweyo, elichazwa yesethi nganye encedayo yezithuba eziquka lonke uluhlu lwamaxabiso.",
uct_isiXhosa_statistics_glossary_38,Data,iinkcukacha,"1. The elements of categorical or numerical information gathered from an experiment, a survey, an observational study or routine record keeping.",,"1. Amalungu odidi okanye inani lolwazi oluqokelelwe kumfuniselo, uphando, uphononongo lwembonakalo okanye isiqhelo sokugcina irekhodi.",
uct_isiXhosa_statistics_glossary_39,Data case,indibanisela yeenkcukacha,1. A set of observations on all the variables obtained from a single observational unit.,,1. Isethi yeembonakalo zazo zonke izinto ezitshintshayo ezifunyenwe kwiyunithi enye yembonakalo.,
uct_isiXhosa_statistics_glossary_40,Data matrix,isakhelo seenkcukacha,"1. A rectangular array of data, one row per observational unit, and one column for each variable.",,"1. Uluhlu lwedata olufana noxande, olungumgca omnye ngeyunithi nganye yembonakalo, nentsika enye ngento nganye etshintshayo.",
uct_isiXhosa_statistics_glossary_41,Data set,ingqokelela yeenkcukacha,"1. A set of data, usually consisting of a common set of variables observed on each of the observational units (say n units by k variables).",,"1. Isethi yedata, ngokwesiqhelo equka isethi eqhelekileyo yezinto ezitshintshayo eziboniweyo kwenye nenye yeeyunithi zembonakalo (masithi iiyunithi zika-n nezinto ezitshintshayo zika-k)",
uct_isiXhosa_statistics_glossary_42,Data values,ugcino lweenkcukachamanani,"1. The numerical values of observations which constitute an experiment, survey or observational study.",,"1. Amaxabiso amanani eembonakalo akha umfuniselo, uphando okanye uphononongo lwembonakalo.",
uct_isiXhosa_statistics_glossary_43,Datum,iinkcukacha,1. A single element of categorical or numerical information.,,1. ilungu elinye lodidi okanye inani lolwazi.,
uct_isiXhosa_statistics_glossary_44,Decimal,idesimali,1. Using the base 10 in the representation of numbers and fractions (adjective).,,1. Ukusebenzisa isisekelo se-10 ukumela amanani namaqhezu/ amaqhekeza (isiphawuli).,
uct_isiXhosa_statistics_glossary_45,Decimal point,"ichaphaza ledesimali, desimalipoyinti",1. The symbol used to separate the integer value from the non-integer value of a real number. The symbol may either be a comma or a dot.,,1. Umqondiso wokwahlula ixabiso le-inteja kwixabiso lenani elingeyiyo i-inteja yenani lokwenene. Umqondiso unokuba yikoma okanye ichaphaza.,
uct_isiXhosa_statistics_glossary_46,Degree,iqondo,1. The degree of a non-zero monomial is the sum of the exponents of the variables. The degree of a polynomial is the highest degree of any one of its monomial terms.,,1. Iqondo lenani elinye elingengo-ziro sisiphumo somdibaniso wamanani okuphindaphinda atshintshayo. Iqondo lamanani amaninzi lelona qondo liphezulu lalo naliphi na lamagama alo enani elinye le-aljebra.,
