id,eng,xho,eng_pos_or_descriptor,eng_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info
uct_isixhosa_mechanical_engineering_glossary_2023_0,Actuator,iakitshuweyitha,"A transducer that converts electrical, hydraulic, or pneumatic energy to effective motion. For example, in robots, actuators set the manipulator in motion through actuation of the joints. Industrial robots are equipped with motors that are typically electric, hydraulic, or pneumatic.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_1,Amplifier,isandisimandla; iemplifaya,An electronic device that receives on input voltage or current signal and modifies the signal into a driving voltage or current at a different level.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_2,Amplifier,isandisimandla; iemplifaya,An electronic device that receives on input voltage or current signal and modifies the signal into a driving voltage or current at a different level.,,,
uct_isixhosa_mechanical_engineering_glossary_2023_3,Analogue,ianalogu,"A signal represented in a continuous form with respect to continuous time, ascontrasted with digital signal represented in a discrete (discontinuous) form in a sequence of time instant,",,,
uct_isixhosa_mechanical_engineering_glossary_2023_4,Analogue,ianalogu,"contrasted with digital signal represented in a discrete (discontinuous) form in a sequence of time instant,",,,
uct_isixhosa_mechanical_engineering_glossary_2023_5,Attenuation,ucuthomandla; iathenyuweyishini,"The exponential decrease with distance, in the amplitude of an electric signal traveling along a very long transmission line due to losses in the supporting medium.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_6,Autonomous,zimeleyo,"Operation of a sequential circuit in which no external signals, other than clock signals, are applied. The necessary logic inputs are derived internally using feedback circuits.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_7,Bandwidth,ibhendiwithi,"(1) The frequency range of a message or information processing system measured in hertz. (2) width of the spectral region over which an amplifier (or absorber) has substantial gain (or loss); sometimes represented more specifically as, for example, full width at half maximum. (3) the property of a control system or component describing the limits of sinusoidal input frequencies to which the system/component will respond",,,
uct_isixhosa_mechanical_engineering_glossary_2023_8,Bus,isidlulisideyitha; ibhasi,"electronics context / A collection of wires, usually forming part of a circuit board, that is used to transfer data between components inside a computer, or between computers.",,,
uct_isixhosa_mechanical_engineering_glossary_2023_9,Capacitance,ulinganiselomthamo,"The measure of the ability to store electric charge. Also, the measure of the ability to store energy in an electric field.",,,
