id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_mamelodi_campus_0,Academic offices,Akademiese kantore,Diofisi tša thuto,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_1,Administration and main entrance,Administrasie en hoofingang,Taolo le botseno bjo bogolo,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_2,Arena,Arena,Arena,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_3,Conference Hall,Konferensiesaal,Holo ya Dikhonferense,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_4,Education / Geography,Opvoedkunde / Geografie,Thuto / Thutafase,Mamelodi / Mamelodi, / ,Mamelodi / Mamelodi, / ,, / 
up_glossary_mamelodi_campus_5,Fisika en Chemie,Physics and Chemistry,Fisika le Khemistri,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_6,Guard house,Hekwaghuis,Ntlo ya bahlapetši,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_7,Library,Biblioteek,Bokgobapuku,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_8,Psychology,Sielkunde,Saekolotši,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_9,Registration,Registrasie,Boingwadišo,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_10,Science Centre,Wetenskapsentrum,Senthara ya Disaense,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_11,Technical Services,Tegniese Dienste,Ditirelo tša Thekniki,Mamelodi,,Mamelodi,,,
up_glossary_institutional_terminology_0,Abstract,opsomming,kakaretso,,,,,,
up_glossary_institutional_terminology_1,academic cap,akademiese mus,kepisi ya thuto,,,,,,
up_glossary_institutional_terminology_2,academic dress,akademiese drag,seaparo sa thuto/seanamarena,,,,,,
up_glossary_institutional_terminology_3,academic information session,akademiese inligtingsessie,mohlakano wa tshedimoso ya thuto,,,,,,
up_glossary_institutional_terminology_4,academic information management,akademiese-inligtingsbestuur,taolo ya tshedimoso ya thuto,,,,,,
up_glossary_institutional_terminology_5,academic information week,akademiese inligtingsweek,beke ya tshedimoso ya thuto,,,,,,
up_glossary_institutional_terminology_6,academic literacy modules,Akademiesegeletterdheidsmodules,dithutwana tsa dithuto tsa tsebotlhaka,,,,,,
up_glossary_institutional_terminology_7,Academic Literacy Test,Akademiese Geletterdheidstoets,Teko ya Dithuto ta Tsebotlhaka,,,,,,
up_glossary_institutional_terminology_8,Academic Orientation Programme,Akademiese Orienteringsprogram,Lenaneo la Tlwaetu00e3o ya Dithuto,,,,,,
up_glossary_institutional_terminology_9,Academic Orientation Week,Akademiese Orienteringsweek,Beke ya Tlwaetso ya Dithuto,,,,,,
up_glossary_institutional_terminology_10,academic programme/module amendments,akademiese program-/modulewysigings,lenaneo la dithuto/mpshafatso ya dithutwana,,,,,,
up_glossary_institutional_terminology_11,Academic Service Learning and Foundation-phase Studies,Akademiese Diensleen en Grondslagfasestudie,Dithuto tsa Go ithutaTirelo le Dithuto tsa Legato la Motheo,,,,,,
up_glossary_institutional_terminology_12,acknowledgement,erkenning,kamogelo,,,,,,
up_glossary_institutional_terminology_13,adequate achievement,bevredigende prestasie,bokgoni bjo bo amogelegago,,,,,,
up_glossary_institutional_terminology_14,administrative officer,administratiewe beampte,mohlankeditaolo,,,,,,
up_glossary_institutional_terminology_15,Admission,toelating,kamogelo,,,,,,
up_glossary_institutional_terminology_16,Admission Point Score,Toelatingspunttelling,Meputso ya Dintlha tsa Kamogelo,APS,,TPT,,,
up_glossary_institutional_terminology_17,Admissions Committee,Toelatingskomitee,Komiti ya Kamogelo,,,,,,
up_glossary_institutional_terminology_18,Admissions Management,Toelatingsbestuur,Taolo ya Kamogelo,,,,,,
up_glossary_institutional_terminology_19,admissions regulation,toelatingsreglement,melawana ya kamogelo,,,,,,
up_glossary_institutional_terminology_20,admissions test,toelatingstoets,teko/molekwana ya/wa kamogelo,,,,,,
up_glossary_institutional_terminology_21,admit or select,toelaat of keur,Amogela goba o kgethe,,,,,,
up_glossary_institutional_terminology_22,Advancement Unit,Bevorderingseenheid,Lekala la Tsweletsopele,,,,,,
up_glossary_institutional_terminology_23,Advisor to the Vice-Chancellor and Principal,Adviseur van die Visekanselier en Rektor,Ofisi ya Moeleti wa Motlatsamokhanseliri le Hlogo,,,,,,
up_glossary_institutional_terminology_24,aegrotat examination,siekte-eksamen,Tlhahlobo ya akrothete,,,,,,
up_glossary_institutional_terminology_25,Africa Day,Afrikadag,Letsatsi la Afrika,,,,,,
up_glossary_institutional_terminology_26,Agenda,agenda,agenda/lenaneo,,,,,,
up_glossary_institutional_terminology_27,Agreement,ooreenkoms,tumelelano,,,,,,
up_glossary_institutional_terminology_28,Albertina Sisulu Executive Leadership Programme in Health,Albertina Sisulu- Uitvoerende Leierskapprogram in Gesondheid,Lenaneo la Boetapelephethisi la Albertina Sisulu ka Maphelo,,,,,,
up_glossary_institutional_terminology_29,alma mater,alma mater,alma mater,,,,,,
up_glossary_institutional_terminology_30,Alma Mater Fund,Alma Mater-fonds,Sekhwama sa Alma Mater,,,,,,
up_glossary_institutional_terminology_31,alumna,alumna,moithuti wa maloba wa mosadi,female,,vroulik,,,
up_glossary_institutional_terminology_32,alumni,alumni,baithuti ba maloba,pl,,mv,,,
up_glossary_institutional_terminology_33,Alumni Laureate Award,Alumni Laureaattoekenning,Sefoka sa Baithuti ba maloba sa Laureate,,,,,,
up_glossary_institutional_terminology_34,alumnus,alumnus,Moithuti wa maloba wa monna,male,,manlik,,,
up_glossary_institutional_terminology_35,AmaTuks,AmaTuks,AmaTuks,football,,sokker,,kgwele ya maoto,
up_glossary_institutional_terminology_36,Amend,wysig,mpshafata,,,,,,
up_glossary_institutional_terminology_37,amendment to a general regulation,wysiging van 'n algemene regulasie,mpshafatso ya melawana ya kakareto,,,,,,
up_glossary_institutional_terminology_38,ancillary subject,byvak,dithutwana tsa tlaleletso,,,,,,
up_glossary_institutional_terminology_39,annual report,jaarverslag,pego ya ngwaga,,,,,,
up_glossary_institutional_terminology_40,Appeals Committee of Council,Appelkomitee van die Raad,Komiti ya Boipelaetso ya Khansele/ Lekgotla,,,,,,
up_glossary_institutional_terminology_41,Apply,aansoek doen,dira kgopelo,,,,,,
up_glossary_institutional_terminology_42,Athletics Foundation Trust,Athletics Foundation Trust,Athletics Foundation Trust,,,,,,
up_glossary_institutional_terminology_43,Attract,lok,goga sedi,,,,,,
up_glossary_institutional_terminology_44,Audit Committee,Ouditkomitee,Komiti ya Tlhakiso,,,,,,
up_glossary_institutional_terminology_45,Autumn Graduation Ceremony,Herfspromosieplegtigheid,Moletlo wa Dialoga wa Lehlabula,,,,,,
up_glossary_institutional_terminology_46,average - averages,gemiddelde - gemiddeldes,palogare - dipalogare,sing / pl,,ekv / mv / bv: 'n gemiddelde van 70%,,botee / bontsi,
up_glossary_institutional_terminology_47,Award,toekenning,sefoka,,,,,,
up_glossary_institutional_terminology_48,Award of the Vice-Chancellor and Principal,Toekenning van die Visekanselier en Rektor,Sefoka sa Motlatsamokhanseliri le Hlogo,,,,,,
up_glossary_institutional_terminology_49,Bachelor of Dentistry,Baccalaureus in Tandheelkunde,Bachelor of Dentistry,,,,,,
up_glossary_institutional_terminology_50,bachelor's degree,baccalaureusgraad,Tikrii ya bachelor,,,,,,
up_glossary_institutional_terminology_51,Barclays Africa Chair in Actuarial Science,Barclays Afrika-leerstoel in Aktuariu00e8le Wetenskap,Setulo sa Afrika sa Barclays ka Saense ya Akturaele,previously Absa Chair ...,,voorheen Absa-leerstoel ...,,pele e be e le setulo sa Absa...,
up_glossary_institutional_terminology_52,Barclays Africa Chair in Banking Law,Barclays Afrika-leerstoel in Bankreg,Setulo sa Afrika sa Barclays ka Molao wa go Panka,previously Absa Chair ...,,voorheen Absa-leerstoel ...,,pele e be e le setulo sa Absa...,
up_glossary_institutional_terminology_53,Bestmed members,Bestmed-lede,Maloko a Bestmed,UP,,UP,,UP,
up_glossary_institutional_terminology_54,BClinical Medical Practice degree programme,BKliniese Mediese Praktyk-graadprogram,Lenaneo la tikrii ya BClinical Medical Practice,,,,,,
up_glossary_institutional_terminology_55,beret,baret,perete,,,,,,
up_glossary_institutional_terminology_56,Bill of Student Rights,Handves van Studenteregte,Molaokakanywa wa Ditokelo tsa Baithuti,,,,,,
up_glossary_institutional_terminology_57,Bioanalytical Laboratory,Bioanalitiese Laboratorium,Laporatori ya Payo-analethikhale,,,,,,
up_glossary_institutional_terminology_58,block examination,blokeksamen,Tlhahlobo ya ploko,,,,,,
up_glossary_institutional_terminology_59,block student,blokstudent,moithuti wa ploko,,,,,,
up_glossary_institutional_terminology_60,bursary grant letter,beursbrief,lengwalo la pasari,,,,,,
up_glossary_institutional_terminology_61,Business Administration,Bedryfsadministrasie,Taolo ya Kgwebo,,,,,,
up_glossary_institutional_terminology_62,business attire,sakedrag,moaparo wa kgwebo,,,,,,
up_glossary_institutional_terminology_63,business breakfast,sakeontbyt,sefihlolo sa kgwebo,,,,,,
up_glossary_institutional_terminology_64,candidate for a doctorate - candidates for a doctorate,doktorandus - doktorandi,molekwa wa bongaka - balekwa ba bongaka,sing / pl,,ekv / mv,,botee / bontsi,
up_glossary_institutional_terminology_65,capita selecta,capita selecta,capita selecta,roman; not italics,,romeins; nie kursief,,seroma; e sego moseka,
up_glossary_institutional_terminology_66,Centre for Corporate Governance in Africa,Sentrum vir Korporatiewe Bestuur in Afrika,Senthara ya Taolo ya Tlemagano ka Afrika,US,,US,,US,
up_glossary_institutional_terminology_67,Centre for Microbial Ecology and Genomics,Sentrum vir Mikrobiese Ekologie en Genomika,Senthara ya Ekoloti ya Maekropaele leDitsenomiki,,,,,,
up_glossary_institutional_terminology_68,Certificate of Merit,Sertifikaat van Verdienste,Setifikeiti sa Bokgoni,,,,,,
up_glossary_institutional_terminology_69,Chancellor's Medal,Kanseliersmedalje,Metale wa Mokhanseliri,,,,,,
up_glossary_institutional_terminology_70,changes on credits,kredietveranderings,phetoso ya dikrediti,,,,,,
up_glossary_institutional_terminology_71,Charter,manifes,thalooboemo,,,,,,
up_glossary_institutional_terminology_72,class attendance,klasbywoning,go ya diphaposing,,,,,,
up_glossary_institutional_terminology_73,Client Service Centre,Klientedienssentrum,Senthara ya Ditirelo tsa Badirelwa,not: Services,,,,,
up_glossary_institutional_terminology_74,Cluster,groep,sehlopha,,,,,,
up_glossary_institutional_terminology_75,code of conduct,gedragskode,molao wa maitshwaro,,,,,,
up_glossary_institutional_terminology_76,commemorative medal,gedenkmedalje,metale wa segopotso,,,,,,
up_glossary_institutional_terminology_77,committee composition as per charter,komiteesamestelling,tlhamo ya komiti go ya ka thalosoboemo,,,,,,
up_glossary_institutional_terminology_78,compulsory subject,verpligte vak,dithutwana tsa kgapeletso,,,,,,
up_glossary_institutional_terminology_79,computer and information literacy,rekenaar- en inligtinggeletterdheid,tsebotlhaka ya khomputha le tshedimoso,,,,,,
up_glossary_institutional_terminology_80,Computer Literacy,Rekenaargeletterdheid,Tsebotlhaka ya Khomphutha,,,,,,
up_glossary_institutional_terminology_81,Computer-integrated Education,Rekenaargeintegreerde Onderwys,Thuto yeo e kopantswego ya Khomphutha,,,,,,
up_glossary_institutional_terminology_82,conditional exemption certificate,voorwaardelike vrystellingsertifikaat,seteifikeiti sa tokollo sa peelano,,,,,,
up_glossary_institutional_terminology_83,Constitution for Student Governance,Grondwet vir Studenteregering,Molaotheo wa Taolo ya Baithuti,CSG,,GSR,,,
up_glossary_institutional_terminology_84,Continued Educational Unit,Voortgesette Opvoedkundige Eenheid,Lekala la Thuto leo le tswelago pele,CEU,,VOE,,,
up_glossary_institutional_terminology_85,Continued Professional Development,Voortgesette Professionele Ontwikkeling,Tweletsopele/Kaonafatso/Tlhabollo ya Bokgoni bjo bo Tswelago pele,CPD,,VPO,,,
up_glossary_institutional_terminology_86,continued studies,voortgesette studie,dithuto tse di tswelago pele,,,,,,
up_glossary_institutional_terminology_87,continuing education,voortgesette onderrig,thuto ya go tswela pele,,,,,,
up_glossary_institutional_terminology_88,contractual agreement,kontraktuele ooreenkoms,tumelelano ya kontraka,,,,,,
up_glossary_institutional_terminology_89,Convocation,Konvokasie,Mohlakano,,,,,,
up_glossary_institutional_terminology_90,Corporate Wellness Programme,Korporatiewe Gesondheidsprogram,Lenaneo la Go phela gabotse ka Tirisano,,,,,,
up_glossary_institutional_terminology_91,co-supervisor,medepromotor of medestudieleier,molekodimmogo,,,vir doktorsgraad / vir magistergraad,,,
up_glossary_institutional_terminology_92,coursework,gedoseer,mosomothuto,,,,,,
up_glossary_institutional_terminology_93,coursework degree programme,gedoseerde graadprogram,lenaneo la tikrii la mosomothuto,,,,,,
up_glossary_institutional_terminology_94,cover letter,dekbrief,lengwalokakaretso,,,,,,
up_glossary_institutional_terminology_95,cover page,dekbladsy,letlakalakakaretso,,,,,,
up_glossary_institutional_terminology_96,credit changes,kredietveranderings,phetoso ya dikrediti,,,,,,
up_glossary_institutional_terminology_97,criteria,maatstawwe/kriteria,mekgwa,,,,,,
