id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_campus_0,Administration,Administrasie,,Groenkloof,Department of Enrolment and Student Administration (DESA) Education General Facilities Management Postal Services Security Services Unit for Distance Education,Groenkloof,Departement Toelating en Studenteadministrasie Opvoedkunde Algemeen Fasiliteitebestuur Posdienste Veiligheidsdienste Eenheid vir Afstandsonderrig,,"Kgoro ya Ngwadiso le Taolo ya
Baithuti (DESA)
Thuto ya Kakareto
Taolo ya Dinolofati
Ditirelo tsa Poso
Ditirelo tsa Tshireletso
Lekala la Thuto ya Kgole"
up_glossary_campus_1,Boma,Boma,,Groenkloof,Facilities Management and Administration,Groenkloof,Fasiliteitebestuur en Administrasie,,Taolo ya Dinolofati le Taolo
up_glossary_campus_2,Club House west of Principal's House,Klubhuis wes van Rektorswoning,,Groenkloof,Facilities Management and Administration,Groenkloof,Fasiliteitebestuur en Administrasie,,Taolo ya Dinolofatsi le Taolo
up_glossary_campus_3,Dining Hall,Eetsaal,,Groenkloof,Hostel Food Production and Serving,Groenkloof,Koshuisvoedselproduksie en -bediening,,"Tsweletso ya Dijo tsa Bodulo bja
Baithuto le Go sola"
up_glossary_campus_4,Flats,Woonstelle,,Groenkloof,Facilities Management,Groenkloof,Fasiliteitebestuur,,Taolo ya Dinolofatsi
up_glossary_campus_5,Groenkloof Sports Pavilion,Groenkloof- sportpawiljoen,,Groenkloof,Property Management: Theatres and Halls,Groenkloof,Eiendomsbestuur: Teaters en Sale,,"Taolo ya Thoto: Ditheetha le
Diholo"
up_glossary_campus_6,Guard House,Waghuis,,Groenkloof,Security Services,Groenkloof,Veiligheidsdienste,,Ditirelo tsa Tshireletso
up_glossary_campus_7,Kentucky Club House,Kentucky- klubhuis,,Groenkloof,Facilities Management and Administration,Groenkloof,Fasiliteitebestuur en Administrasie,,Taolo ya Dinolofati le Taolo
up_glossary_campus_8,Matron's Quarters,Matronekwartiere,,Groenkloof,Staff,Groenkloof,Personeelhuise,,Badirisani
up_glossary_campus_9,Media Centre,Mediasentrum,,Groenkloof,Centre for Evaluation and Assessment Exhibition spaces Library Services Reserved Space: Academic Peace Parks spaces,Groenkloof,Sentrum vir Evaluering en Assessering Uitstalruimtes Biblioteekdienste Reserweruimte: Akademies Vredesparkeruimtes,,"Senthara ya Tekolo/ le
Kelo/Tekanyo
Dikgoba tsa Dipontsho
Ditirelo tsa Bokgobapuku
Sekgoba seo se Lotilwego:
Dikgoba tsa Diphaka tsa Khuto
ya Thuto"
