id,eng,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_chairs_0,Chair in Investment Management,Leerstoel in Beleggingsbestuur,"Economic and Management
Sciences",,"Economic and Management
Sciences",
up_glossary_chairs_1,Chair in Logistics and Entrepreneurship,Leerstoel in Logistiek en Entrepreneurskap,"Economic and Management
Sciences",,"Economic and Management
Sciences",
up_glossary_chairs_2,SARChl Chair in International Trade and Trade Law,SARChl-leerstoel in Internasionale Handel en Handelsreg,"held jointly
with the Faculty of Law / Economic and Management
Sciences",,"tesame met
die Fakulteit Regsgeleerdheid / Economic and Management
Sciences",
up_glossary_chairs_3,Anglo-American Chair in Pyrometallurgy,Anglo-American Leerstoel in Pirometallurgie,EBIT,School of Engineering,EBIT,School of Engineering
up_glossary_chairs_4,Chair in Maintenance Engineering,Leerstoel in Onderhoudsingenieurswese,EBIT,School of Engineering,EBIT,School of Engineering
up_glossary_chairs_5,Chair in Investment Management,Leerstoel in Beleggingsbestuur,EBIT,School of Engineering,EBIT,School of Engineering
up_glossary_chairs_6,Chair in Logistics and Entrepreneurship,Leerstoel in Logistiek en Entrepreneurskap,EBIT,School of Engineering,EBIT,School of Engineering
up_glossary_chairs_7,SARChl Chair in International Trade and Trade Law,SARChl-leerstoel in Internasionale Handel en Handelsreg,"held jointly
with the Faculty of Law / EBIT",School of Engineering,"SARCHI / tesame met die Fakulteit
Regsgeleerdheid / EBIT",School of Engineering
up_glossary_chairs_8,SENTECH Chair in Broadband Wireless Multimedia Communications,SENTECH-leerstoel vir Breeband- Draadlose Multimediakommunikasie,BWMC / ,,BDMK / ,
up_glossary_chairs_9,Harmony Chair in Rock Engineering and Numerical Modelling,Harmony-leerstoel in Rotsingenieurswese en Numeriese Modellering,,,,
up_glossary_chairs_10,Chair in Philosophy and Ethics of Mental Health,Leerstoel in Filosofie en Etiek van Geestesgesondheid,Health Sciences,,Health Sciences,
up_glossary_chairs_11,UNESCO Chair in Education Law,UNESCO-leerstoel in Onderwysreg,Law,,Law,
up_glossary_chairs_12,Chair in Forest Genomics and Biotechnology,Leerstoel in Bosbougenomika en Biotegnologie,"Natural and Agricultural
Sciences",,"Natural and Agricultural
Sciences",
up_glossary_chairs_13,Chair in Primary Animal Healthcare,Leerstoel in Primêre Dieregesondheidsorg,"Natural and Agricultural
Sciences",,"Natural and Agricultural
Sciences",
up_glossary_chairs_14,SAFCOL Chair in Forestry,SAFCOL-leerstoel in Bosbou,"Natural and Agricultural
Sciences",School of Biological Sciences,"Natural and Agricultural
Sciences",School of Biological Sciences
up_glossary_chairs_15,Austin Roberts Chair of Mammalogy,Austin Roberts-leerstoel in Soogdierkunde,"Natural and Agricultural
Sciences",School of Biological Sciences,"Natural and Agricultural
Sciences",School of Biological Sciences
up_glossary_chairs_16,Chair in Primary Animal Healthcare,Leerstoel in Primêre Dieregesondheidsorg,Veterinary Sciences,,Veterinary Sciences,
