id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_general_terminology_0,Academy of Science for South Africa,Akademi ya Saense ya Afrika Borwa,Wetenskapakademie vir Suid-Afrika,ASSAf,,ASSAf,,ASSAf,
up_glossary_general_terminology_1,acting,go swarela,waarnemend,,,,,,
up_glossary_general_terminology_2,admission point score,dintlha tseo di nyakegago gore o amogelwe,toelatingspunttelling,APS,,APS,,TPT,
up_glossary_general_terminology_3,advancement,t3weletsopele/kaonafatso/phagamiso,Bevordering,,,,,,
up_glossary_general_terminology_4,advocacy,thekgo,voorspraak,legal advocacy,,thekgo ya molao,,regsvoorspraak,
up_glossary_general_terminology_5,African continent,Kontinente ya Afrika,Afrika-kontinent,,,,,,
up_glossary_general_terminology_6,after hours,ka morago ga diiri tsa mosomo,nauurs,,,,,nie: na-ure,
up_glossary_general_terminology_7,after-sales service,ka morago ga tirelo ya dithekiso,naverkoopdiens,,,,,,
up_glossary_general_terminology_8,annexure-annexures or appendix - appendices,koketso - dikoketso goba mametletso - dimamatleto,bylae - bylaes of bylaag - bylae,sing,"pl, not appendixes for plural",,,ekv,mv
up_glossary_general_terminology_9,app/apps,kgopelo/dikgopelo,toepassing/toepassings,application/applications,,,,,
up_glossary_general_terminology_10,appeal,boipiletso,appèl,noun,,leina,,snw,
up_glossary_general_terminology_11,appeal,ipiletsa,appelleer,verb,,lediri,,ww,
up_glossary_general_terminology_12,APS,APS,TPT,admission point score,,dintlha tseo di nyakegago gore o amogelwe,,toelatingspuntetelling,
up_glossary_general_terminology_13,associate professor,mothusa profesa,medeprofessor,,,,,,
up_glossary_general_terminology_14,asylum seeker,monyakisisi wa polokego,asielsoeker,,,,,,
up_glossary_general_terminology_15,attention deficit syndrome,bolwetsi bja monagano bjoo bo amanago le go se be le edi/tlhokomelo,aandagafleibaarheidsindroom,,,,,,
up_glossary_general_terminology_16,benchmark,tekolo,norm,noun,,,,,
up_glossary_general_terminology_17,bio-engineering,boentsenere bja thutaphedi/payolotsi,bio-ingenieurswese,,,,,,
up_glossary_general_terminology_18,Biological Society of Southern Africa,Lekgotla la Thutaphedi/Payolotsi la Borwa bja Afrika,Biologiese Vereniging van Suider-Afrika,,,,,,
up_glossary_general_terminology_19,bowhead,folaga,hoepelbanier,flag,,,,,
up_glossary_general_terminology_20,broadband wireless communication,kgokagano ya seyalemoya ya phihlelelo ya megala ya lebelo,breeband- draadlose kommunikasie,,,,,,
