id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_groenkloof_campus_0,Administration,Administrasie,,Groenkloof,Department of Enrolment and Student Administration (DESA) Education General Facilities Management Postal Services Security Services Unit for Distance Education,Groenkloof,Departement Toelating en Studenteadministrasie Opvoedkunde Algemeen Fasiliteitebestuur Posdienste Veiligheidsdienste Eenheid vir Afstandsonderrig,,"Kgoro ya Ngwadiso le Taolo ya
Baithuti (DESA)
Thuto ya Kakareto
Taolo ya Dinolofati
Ditirelo tsa Poso
Ditirelo tsa Tshireletso
Lekala la Thuto ya Kgole"
up_glossary_groenkloof_campus_1,Boma,Boma,,Groenkloof,Facilities Management and Administration,Groenkloof,Fasiliteitebestuur en Administrasie,,Taolo ya Dinolofati le Taolo
up_glossary_groenkloof_campus_2,Club House west of Principal's House,Klubhuis wes van Rektorswoning,,Groenkloof,Facilities Management and Administration,Groenkloof,Fasiliteitebestuur en Administrasie,,Taolo ya Dinolofatsi le Taolo
up_glossary_groenkloof_campus_3,Dining Hall,Eetsaal,,Groenkloof,Hostel Food Production and Serving,Groenkloof,Koshuisvoedselproduksie en -bediening,,"Tsweletso ya Dijo tsa Bodulo bja
Baithuto le Go sola"
up_glossary_groenkloof_campus_4,Flats,Woonstelle,,Groenkloof,Facilities Management,Groenkloof,Fasiliteitebestuur,,Taolo ya Dinolofatsi
up_glossary_groenkloof_campus_5,Groenkloof Sports Pavilion,Groenkloof- sportpawiljoen,,Groenkloof,Property Management: Theatres and Halls,Groenkloof,Eiendomsbestuur: Teaters en Sale,,"Taolo ya Thoto: Ditheetha le
Diholo"
up_glossary_groenkloof_campus_6,Guard House,Waghuis,,Groenkloof,Security Services,Groenkloof,Veiligheidsdienste,,Ditirelo tsa Tshireletso
up_glossary_groenkloof_campus_7,Kentucky Club House,Kentucky- klubhuis,,Groenkloof,Facilities Management and Administration,Groenkloof,Fasiliteitebestuur en Administrasie,,Taolo ya Dinolofati le Taolo
up_glossary_groenkloof_campus_8,Matron's Quarters,Matronekwartiere,,Groenkloof,Staff,Groenkloof,Personeelhuise,,Badirisani
up_glossary_groenkloof_campus_9,Media Centre,Mediasentrum,,Groenkloof,Centre for Evaluation and Assessment Exhibition spaces Library Services Reserved Space: Academic Peace Parks spaces,Groenkloof,Sentrum vir Evaluering en Assessering Uitstalruimtes Biblioteekdienste Reserweruimte: Akademies Vredesparkeruimtes,,"Senthara ya Tekolo/ le
Kelo/Tekanyo
Dikgoba tsa Dipontsho
Ditirelo tsa Bokgobapuku
Sekgoba seo se Lotilwego:
Dikgoba tsa Diphaka tsa Khuto
ya Thuto"
up_glossary_groenkloof_campus_10,Multi Purpose,Aldoel,,Groenkloof,"Arts, Languages, Human Movement Studies Education Campus Enterprises Central Computer Laboratory Complex Curriculum Studies Director: Information Technology Services Early Childhood Education Education Education General Education Innovation Studio Education Management and Policy Studies Educational Psychology Facilities Management Information Technology Services Minolta Science, Mathematics and Technology Education Social Studies Education Unit for Distance Education",Groenkloof,"Kunste-, Tale-, Menslikebeweging- studieonderwys Kampusmaatskappye Sentrale Rekenaarlaboratorium- kompleks Kurrikulumstudies Direkteur: Inligtingtegnologiediens Vroee Kinderonderwys Opvoedkunde Opvoedkunde Algemeen Ateljee Onderwysinnovasie Onderwysbestuur en - beleidstudies Opvoedkundige Sielkunde Fasiliteitebestuur Inligtingtegnologiedienste Minolta Wetenskap-, Wiskunde- en Tegnologieonderwys Sosialestudie-onderwys Eenheid vir Afstandsonderrig",,"Thuto ya Bokgabo,
Dipolelo/Maleme, Dithuto tsa
Mosepelo wa Motho
Dikgwebo tsa Khamphase
Meago ya Laporotori ya
Dikhomphutha tsa Gare
Dithuto tsa Lenaneothuto
Molaodimogolo: Ditirelo tsa
Theknololotsi ya Tshedimoso
Thuto ya Bobjana bja Pele
Thuto
Thuto
Thuto ya Kakareto
Studio sa/Phaposi ya
Boithomelo/Kaonafatso/Mpshafat
so/Tweletsopele/Tlhabollo ya
Thuto
Taolo ya Thuto le Dithuto tsa
Dipholisi
Saekoloti ya Thuto
Taolo ya Dinolofati
Ditirelo tsa Theknoloti ya
Tshedimoso tsa
Minolta
Saense, Mmetse le Thuto ya
Theknoloti
Thuto ya Dithuto tsa Leago
Lekala la Thuto ya Kgole"
up_glossary_groenkloof_campus_11,Natural Sciences,Natuurwetenska ppe,,Groenkloof,"Science, Mathematics and Technology EducationSouth African College for Teacher Education (SACTE) TuksSport High School",Groenkloof,"Wetenskap-, Wiskunde- en TegnologieonderwysSuid-Afrikaanse Kollege vir Onderwysersopleiding (SACTE) TuksSport High School",,"Saense, Mmetse le Thuto ya
TheknolotiKholetshe ya Thuto ya Barutsi ya
Afrika Borwa (SACTE)
TuksSport High School"
up_glossary_groenkloof_campus_12,Normal Hall and Auditorium,Normaalsaal en Ouditorium,,Groenkloof,"School for Teacher Education Art, Languages, Human Movement Study Education Central Laboratory Complex Facilities Management Jacaranda Children's Choir Stepp",Groenkloof,"Skool vir Onderwysersopleiding Kunste-, Tale-, Menslikebeweging- studieonderwys Sentrale Rekenaarlaboratorium- kompleks Fasiliteitebestuur Jakaranda Kinderkoor Stepp",,"Sekolo sa Thuto ya Barutii,
Bokgabo, Dipolelo/Maleme, Thuto
ya Dithuto tsa Mosepelo wa
Motho
Meago ya Laporotori ya Gare
Dinolofati tsa Taolo
Khwaere ya Bana ya Jacaranda
Stepp"
up_glossary_groenkloof_campus_13,Old SACTE,Ou SACTE,,Groenkloof,South African College for Teacher Education (SACTE),Groenkloof,Suid-Afrikaanse Kollege vir Onderwysersopleiding (SACTE),,"Kholetshe ya Thuto ya Barutsi ya
Afrika Borwa
(SACTE)"
up_glossary_groenkloof_campus_14,Principal's House,Rektorswoning,,Groenkloof,Facilities Management,Groenkloof,Fasiliteitebestuun,,Dinolofati tsa Taolo
up_glossary_groenkloof_campus_15,Registrar's House,Registrateurswo ning,,Groenkloof,Experimental Farm Manager,Groenkloof,Proefplaasbestuurder,,Molaodi wa Polase ya Diteko
up_glossary_groenkloof_campus_16,Sport Centre,Sportsentrum,,Groenkloof,"Art, Languages, Human Movement Study Education Facilities Management Reserved Spaces Student Affairs TuksSport High School",Groenkloof,"Kunste-, Tale-, Menslikebeweging- studieonderwys Fasiliteitebestuur Reserweruimtes Studentesake TuksSport High School",,"Bokgabo, Dipolelo, Thuto ya
Dithuto tsa Mosepelo wa Motho
Taolo ya Dinolofati
Dikgoba tseo di Lotilwego
Merero ya Baithuti
TuksSport High School"
up_glossary_groenkloof_campus_17,Student Centre,Studentesentrum,,Groenkloof,Desmondi Education Education General Facilities Management Reserved Spaces,Groenkloof,Desmondi Opvoedkunde Opvoedkunde Algemeen Fasiliteitebestuur Reserweruimtes,,"Desmondi
Thuto
Thuto ya Kakareto
Taolo ya Dinolofati
Dikgoba tseo di Lotilwego"
up_glossary_groenkloof_campus_18,Technical Services,Tegniese Dienste,,Groenkloof,Facilities Management Reserved spaces,Groenkloof,Fasiliteitebestuur Reserweruimtes,,"Taolo ya Dinolofati
Dikgoba tseo di Lotilwego"
up_glossary_groenkloof_campus_19,Tegnika,Tegnika,,Groenkloof,"Science, Mathematics and Technology Education Reserved Space AcademicSchool for Teacher Education TuksSport High School",Groenkloof,"Wetenskap-, Wiskunde- en Tegnologieonderwys Reserweruimte AkademiesSkool vir Onderwysopleiding TuksSport High School",,"Saense, Mmetse le Thuto ya
Theknoloti
Dikgoba tseo di Lotilwego
ThutoSekolo sa Thuto ya Barutisi
TuksSport High School"
