id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_hatfield_campus_0,Administration,Administrasie,,Hatfield,Generally known as 'The Ship' Academic Administration Bureau for Institutional Research and Planning Executive Management Finance Human Resources Information Technology Services Legal Services Postal Services Procurement Rectorate Security Services Student Accounts Systems Renewal University Relations UP Staff Association,Hatfield,Algemeen bekend as 'Die Skip' Akademiese Administrasie Buro vir Institusionele Navorsing en Beplanning Hoofbestuur Finansies Menslike Hulpbronne Inligtingtegnologiedienste Regsdienste Posdienste Verkryging Rektoraat Veiligheidsdienste Studenterekeninge Sisteemvernuwing Universiteitsbetrekkinge UP-personeelvereniging,,"Ka kakareto e tsebega bjalo
ka 'Sekepe'
Taolo ya Thuto
Biro ya Dinyakisiso/Diphatisiso
le Peakanyo tsa Institusene
Taolophethisi
Matlotlo/Ditshelete
Methopo ya Batho
Ditirelo tsa Theknoloti ya
Tshedimoso
Ditirelo tsa Molao
Ditirelo tsa Poso
Kgokaganyo ya go hwetsa le
go reka diphahlo le ditirelo
Ofisi/Kantoro ya Morektoro
Ditirelo tsa Tshireletso
Diakhaonte/Ditshupatlotlo tsa
Baithuti
Mpshafato ya Dipeakanyo
Dikamano tsa Yunibesithi
Lekgotia/Mokgatlo la/wa
Badirisani ba UP"
up_glossary_hatfield_campus_1,AE du Toit Auditorium,AE du Toit-ouditorium,,Hatfield,,Hatfield,,,
up_glossary_hatfield_campus_2,Agricultural Annexe,Landbou-anneks,,Hatfield,"Agricultural Economics, Extension and Rural Development",Hatfield,"Landbou-ekonomie, Voorligting en Landelike Ontwikkeling",,"Diekonomi tsa Temo, Katoloo
le Tweletsopele/Kaonafatso/
Tlhabollo ya Dinagamagae"
up_glossary_hatfield_campus_3,Agricultural Sciences,Landbouwetenskappe,,Hatfield,Agricultural and Food Engineering Animal and Wildlife Sciences Dean: Natural and Agricultural Sciences Biochemistry Genetics Microbiology and Plant Pathology Natural and Agricultural Sciences Plant Production and Soil Science,Hatfield,Landbou- en Voedselingenieurswese Vee- en Wildlewekunde Dekaan: Natuur- en Landbouwetenskappe Biochemie Genetika Mikrobiologie en Plantpatologie Natuur- en Landbouwetenskappe Plantproduksie en Grondkunde,,"Boentsenere bja Temo le Dijo
Disaense tsa Diphoofolo le
Bophelo bja Lesoka Hlogo ya Lefapha: Disaense
tsa Tlhago le Temo
Payokhemistri
Leabela
Maekropayolotsi le Phatholoti
ya Dimela
Disaense tsa Tlhago le Temo
Tsweletso ya Dimela le
Saense ya Mabu"
up_glossary_hatfield_campus_4,Aula,Aula,,"and
Rautenbach
Hall / Hatfield",Property Management: Theatres and Halls,"en
Rautenbachsaal / Hatfield",Eiendomsbestuur: Teaters en Sale,,"Taolo ya Thoto: Ditheetha le
Diholo"
up_glossary_hatfield_campus_5,Aula Lower foyer,Aula Onderste foyer,,Hatfield,,Hatfield,,,
up_glossary_hatfield_campus_6,Bateman,Bateman,,Hatfield,Laboratories,Hatfield,Laboratoriums,,Dilaporotori
up_glossary_hatfield_campus_7,Botany,Plantkunde,,Hatfield,Laboratories,Hatfield,Laboratoriums,,Dilaporotori
up_glossary_hatfield_campus_8,Botany Greenhouse,Plantkunde-kweekhuis,,Hatfield,Plant Science,Hatfield,Plantkunde,,Saense ya Dimela
up_glossary_hatfield_campus_9,Building Science,Boukunde,,Hatfield,Architecture,Hatfield,Argitektuur,,Thutaboagi
up_glossary_hatfield_campus_10,Castiletto,Castiletto,,Hatfield,Student Affairs,Hatfield,Studentesake,,Merero ya Baithuti
up_glossary_hatfield_campus_11,Centenary,Eeufees,,Hatfield,Lecture Hall Complex,Hatfield,Lesingsaalkompleks,,Meago ya Diphaposiborutelo
up_glossary_hatfield_campus_12,Chancellor's,Kanseliers,,Hatfield,Lecture Halls,Hatfield,Lesingsale,,Diphaposiborutelo
up_glossary_hatfield_campus_13,Change rooms and store,Verkleegeriewe en stoor,,Hatfield,Security Services,Hatfield,Veiligheidsdienste,,Ditirelo tsa Tshireletso
up_glossary_hatfield_campus_14,Chapel at Tukkiewerf,Kapel by Tukkiewerf,,Hatfield,Student Development,Hatfield,Studenteontwikkeling,,"T*weletsopele/Kaonafatso/Tlh
abollo ya Baithuti"
up_glossary_hatfield_campus_15,Chemistry,Chemie,,Hatfield,Chemistry,Hatfield,Chemie,,Khemistri
up_glossary_hatfield_campus_16,Client Service Centre,Klientedienssentrum,,"CSC / Note that name
of building
remains
unchanged until
further notice / Hatfield",Also known as the 'Fish Bowl' Department of Enrolment and Student Administration (DESA),"KDS / Let wel:
gebounaam bly
onveranderd tot
verdere kennisgewing / Hatfield",Ook bekend as die 'Vistenk' Departement Toelating en Studenteadministrasie (DTSA),,"E tsebega gape bjalo ka
'Sebjana sa Hlapi' Kgoro ya
Ngwadiso le Taolo ya Baithuti,"
up_glossary_hatfield_campus_17,Club Hall,Klubsaal,,Hatfield,Club Hall Restaurant (Burgundy's) Music,Hatfield,Klubsaalrestaurant (Burgundy's) Musiek,,"Restorante ya Holo ya
Sehlopha (Burgandy's)
Mmino"
up_glossary_hatfield_campus_18,Communication Pathology,Kommunikasie- patologie,,Hatfield,Centre for Augmentative and Alternative Communication Cochlear Implant Unit Communication Pathology Hugo Louw Marchetti Mercer Incorporated,Hatfield,Sentrum vir Aanvullende en Alternatiewe Kommunikasie Kogleêre Inplantingseenheid Kommunikasiepatologie Hugo Louw Marchetti Mercer Geinkorporeer,,"Senthara ya Kgokagano ya
Katoloso le
Tlhatlolano/Tshielano
Lekala la Pallolo ya
Kgopanatsebe
Phatholoti ya Dikgokagano
Kopanyo ya Hugo Louw
Marchetti Mercer"
up_glossary_hatfield_campus_19,Conference Centre,Konferensiesentrum,,"Sanlam
Auditorium, SSR
Auditorium / Hatfield",,"Sanlam-ouditorium,
SSR-ouditorium / Hatfield",,,
up_glossary_hatfield_campus_20,Corn Council Greenhouse,Koringraad-glashuis,,Hatfield,Plant Production and Soil Science,Hatfield,Plantproduksie en Grondkunde,,"Tsweletso ya Dimela le
Saense ya Mabu"
up_glossary_hatfield_campus_21,Cum Laude Informal Student Housing,Cum Laude Informele Studentebehuising,,Hatfield,Student Housing,Hatfield,Studentebehuising,,Madulo a Baithuti
up_glossary_hatfield_campus_22,Dan's Place,Dan's Place,,Hatfield,Student Affairs,Hatfield,Studentesake,,Merero ya Baithuti
up_glossary_hatfield_campus_23,Drama,Drama,,Hatfield,Drama,Hatfield,Drama,,Terama/Tiragatso
up_glossary_hatfield_campus_24,Duxbury Road Buildings,Duxburyweggeboue,,Hatfield,Rental Houses (Facilities and Services),Hatfield,Huurhuise (Fasiliteite en Dienste),,"Dintlo tsa go Rentiwa
(Dinolofati le Ditirelo)"
