id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_hillcrest_campus_0,Ablution facilities at rugby,Ablusiegeriewe by rugbyvelde,,Hillcrest,"TuksSport, Sports Research and Training",Hillcrest,"TuksSport, Sportnavorsing en -opleiding",,
up_glossary_hillcrest_campus_1,Ablution facilities north-east of sports fields,Ablusiegeriewe noordoos van sportvelde,,Hillcrest,Sport and Property Management,Hillcrest,Sport- en Eiendomsbestuur,,
up_glossary_hillcrest_campus_2,Athletics Club House,Atletiekklubhuis,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_3,Athletics pavilion,Atletiekpawiljoen,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_4,Change rooms sports fields,Sportterrein-verkleegeriewe,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_5,'Sinkstoor',Sinkstoor,,Hillcrest,Main Experimental Farm,Hillcrest,Hoofproefplaas,,
up_glossary_hillcrest_campus_6,Cricket Club House,Krieketklubhuis,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_7,Daan Swiegers Club House,Daan Swiegers-klubhuis,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_8,Farmyard,Plaaswerf,,Hillcrest,Terrain Services,Hillcrest,Terreindienste,,
up_glossary_hillcrest_campus_9,Hockey Club House,Hokkieklubhuis,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_10,hpc Residence Lockers 1-4,hpc-koshuissluitkassies1-4,,Hillcrest,high performance centre,Hillcrest,high performance centre,,
up_glossary_hillcrest_campus_11,High Performance Centre,High Performance Centre,,Hillcrest,Legacy Room,Hillcrest,Legacy-lokaal,,
up_glossary_hillcrest_campus_12,Indoor Sports Centre,Binnenshuise Sportsentrum,,Hillcrest,"Biokinetics, Sport and Leisure, Sciences, Facilities: Property Management, Institute for Sports Research, Rental houses (Facilities and Services), Security Services, Sports Centre Cafeteria, Sports Centre Restaurant, TuksSport",Hillcrest,"Biokinetika, Sport- en, Vryetydswetenskappe, Fasiliteite: Eiendomsbestuur, Instituut vir Sportnavorsing, Huurhuise (Fasiliteite en Dienste), Veiligheidsdienste, Sportsentrumkafeteria, Sportsentrumrestaurant, TuksSport",,
up_glossary_hillcrest_campus_13,Rag Farm ablution facilities,Joolplaasablusiegeriewe,,Hillcrest,Student Development,Hillcrest,Studenteontwikkeling,,
up_glossary_hillcrest_campus_14,Rag Farm amphi-stage,Joolplaas-amfiverhoog,,Hillcrest,Student Development,Hillcrest,Studenteontwikkeling,,
up_glossary_hillcrest_campus_15,Rag Farm beer garden shed,Joolplaasbiertuinafdak,,Hillcrest,Student Development,Hillcrest,Studenteontwikkeling,,
up_glossary_hillcrest_campus_16,Rag Farm beer garden stage,Joolplaasbiertuinverhoog,,Hillcrest,Student Development,Hillcrest,Studenteontwikkeling,,
up_glossary_hillcrest_campus_17,Rag Farm float building shed,Joolplaasvlotbouafdak,,Hillcrest,Student Development,Hillcrest,Studenteontwikkeling,,
up_glossary_hillcrest_campus_18,Rag Farm ticket office,Joolplaaskaartjiekantoon,,Hillcrest,Student Development,Hillcrest,Studenteontwikkeling,,
up_glossary_hillcrest_campus_19,Rugby Club House,Rugbyklubhuis,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_20,Rugby Pavilion,Rugbypawiljoen,,LC de Villiers Stadium / Hillcrest,Sport and Property Management,LC de Villiers-stadion / Hillcrest,Sport- en Eiendomsbestuur,,
up_glossary_hillcrest_campus_21,Shed roof at Uitspan,Afdak by Uitspan,,Hillcrest,Human Resources,Hillcrest,Menslike Hulpbronne,,
up_glossary_hillcrest_campus_22,Squash courts,Muurbalbane,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_23,Swimming pool and changerooms,Swembad en kleedkamers,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_24,Swimming pool guard house,Swembadwaghuis,,Hillcrest,Sport and Property Management,Hillcrest,Sport- en Eiendomsbestuur,,
up_glossary_hillcrest_campus_25,Swimming pool pump room,Swembadpompkamer,,Hillcrest,Sport and Property Management,Hillcrest,Sport- en Eiendomsbestuur,,
up_glossary_hillcrest_campus_26,Tennis Club House,Tennisklubhuis,,Hillcrest,TuksSport,Hillcrest,TuksSport,,
up_glossary_hillcrest_campus_27,Uitspan Personnel Centre,Uitspan-personeelsentrum,,Hillcrest,Human Resources,Hillcrest,Menslike Hulpbronne,,
