id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_institutional_research_themes_and_faculty_initiatives_0,Faculty of Natural and Agricultural Sciences: Biotechnology and the Management of Animal and Zoonotic Diseases,Lefapha la Disaense tsa Tlhago le Temo: Payotheknolotsi le Taolo ya Malwetsi a Diphoofolo le Zonetiki,Fakulteit Natuur- en Landbouwetenskappe: Biotegnologie en die Bestuur van Diere- en Soönotiese Siektes,,,,,,
up_glossary_institutional_research_themes_and_faculty_initiatives_1,Ecosystem Services and Livelihoods,Ditirelo tsa Tikologo le Diphedi,Ekostelseldienste en Lewensonderhoud,,,,,,
up_glossary_institutional_research_themes_and_faculty_initiatives_2,"Faculty of Natural and Agricultural Sciences: Energy: Energy Production, Energy Distribution, Energy Optimisation, Advanced Materials, Policy, Economics and Society, Environment","Lefapha la Disaense tsa Tlhago le Temo: Eneti: Tsweletso ya Eneti, Phatlalatio ya Eneti, Kaonafatso ya Eneti, Dimateriale/didiriswa tseo di Twetswego pele, Pholisi, Diekonomi le Setshaba, Tikologo","Fakulteit Natuur- en Landbouwetenskappe: Energie: Opwekking van energie, Verspreiding van energie, Optimalisering van energie, Gevorderde Materiale, Beleid, Ekonomie en die Samelewing, Omgewing",,,,,,
up_glossary_institutional_research_themes_and_faculty_initiatives_3,"Faculty of Natural and Agricultural Sciences: Food, Nutrition and Well-being Sustainable animal- and plant-based food production in a resource-constrained environment / Food safety, biosecurity, public health and regulatory control / Functional biomolecules and functional foods / Facilitating behaviour change for health and well-being / The food security and nutrition impacts of policies and programmes","Lefapha la Disaense tsa Tlhago le Temo: Dijo, Phepo le Go phela gabotse ga batho Tsweletso ye e swarelelago ya dijo tseo di theilwego go diphoofolo le dimela tseo di hlapeditswego mo tikologong ya methopo ye e laolwago, Polokego ya dijo, tshireletso ya payo, maphelo a setshaba le taolo ya melao / Payomolekhula ya mohola le dijo tsa mohola / Go thusa ka phetogo ya maitshwaro a maphelo le go phela gabotse / Tshireletso ya dijo le khuetso ya phepo ya dipholisi le mananeo","Fakulteit Natuur- en Landbouwetenskappe: Voedsel, Voeding en Welstand Volhoubare dier- en plantgebaseerde voedselproduksie in 'n omgewing met 'n tekort aan hulpbronne / Voedselsekerheid, biosekerheid, openbare gesondheid en regulerende beheer / Funksionele biomolekules en funksionele voedselsoorte / Die fasilitering van gedragsverandering met die oog op gesondheid en welsyn / Die uitwerking van beleide en programme op voedselsekerheid en voeding",,,,,,
up_glossary_institutional_research_themes_and_faculty_initiatives_4,Faculty of Natural and Agricultural Sciences: Genomics,Lefapha la Disaense tsa Tlhago le Temo: Ditsenomiki,Fakulteit Natuur- en Landbouwetenskappe: Genomika,,,,,,
up_glossary_institutional_research_themes_and_faculty_initiatives_5,Faculty of Humanities: Capital Cities Project,Lefapha la Bomotho: Protseke ya Ditoropokgolo,Fakulteit Geesteswetenskappe: Hoofstede-projek,,,,,,
up_glossary_institutional_research_themes_and_faculty_initiatives_6,Faculty initiatives,Mananeo a Lefapha,Fakulteitsinisiatiewe,,,,,,
up_glossary_institutional_research_themes_and_faculty_initiatives_7,Human Rights and Diversity,Ditokelo tsa Batho le Phapano/Pharologano,Menseregte en Diversiteit,,,,,,
up_glossary_institutional_research_themes_and_faculty_initiatives_8,Faculty of Health Sciences: Family-centred District Health / Institute for Cellular and Molecular Medicine: Cell-based therapy / Human genome and genetics / Neurosciences Institute for Medical Genomics Sustainable Malaria Control,Lefapha la Disaense tsa Maphelo: Institute ya Kalafo ya Selula le Molekula: Terapi yeo e theilwego diseleng / ditsenome le maebela a batho / Dinyerosaense Institute ya Kalafo ya Ditsenomiki Taolo ye e Swarelelago yahics Malaria,Fakulteit Gesondheidswetenskappe Gesinsgesentreerde Distriksgesondheid Instituut vir Sellulêre en Molekulêre Medisyne: Selgebaseerde terapie / Mensgenoom en genetika / Neurowetenskappe Instituut vir Geneeskundige Genomika Volhoubare Malariabeheer,stem cells,,disele tsa kutu,,stamselle,
up_glossary_institutional_research_themes_and_faculty_initiatives_9,Faculty of Law: Centre for International and Comparative Law,Lefapha la Molao: Senthara ya Molao wa Ditshabatshaba le Papetso,Fakulteit Regsgeleerdheid: Sentrum vir Internasionale Reg en Regsvergelyking,,,,,,
