id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_institutional_terminology_0,Abstract,kakaretso,opsomming,,,,,,
up_glossary_institutional_terminology_1,academic cap,kepisi ya thuto,akademiese mus,,,,,,
up_glossary_institutional_terminology_2,academic dress,seaparo sa thuto/seanamarena,akademiese drag,,,,,,
up_glossary_institutional_terminology_3,academic information session,mohlakano wa tshedimoso ya thuto,akademiese inligtingsessie,,,,,,
up_glossary_institutional_terminology_4,academic information management,taolo ya tshedimoso ya thuto,akademiese-inligtingsbestuur,,,,,,
up_glossary_institutional_terminology_5,academic information week,beke ya tshedimoso ya thuto,akademiese inligtingsweek,,,,,,
up_glossary_institutional_terminology_6,academic literacy modules,dithutwana tsa dithuto tsa tsebotlhaka,Akademiesegeletterdheidsmodules,,,,,,
up_glossary_institutional_terminology_7,Academic Literacy Test,Teko ya Dithuto ta Tsebotlhaka,Akademiese Geletterdheidstoets,,,,,,
up_glossary_institutional_terminology_8,Academic Orientation Programme,Lenaneo la Tlwaetu00e3o ya Dithuto,Akademiese Orienteringsprogram,,,,,,
up_glossary_institutional_terminology_9,Academic Orientation Week,Beke ya Tlwaetso ya Dithuto,Akademiese Orienteringsweek,,,,,,
up_glossary_institutional_terminology_10,academic programme/module amendments,lenaneo la dithuto/mpshafatso ya dithutwana,akademiese program-/modulewysigings,,,,,,
up_glossary_institutional_terminology_11,Academic Service Learning and Foundation-phase Studies,Dithuto tsa Go ithutaTirelo le Dithuto tsa Legato la Motheo,Akademiese Diensleen en Grondslagfasestudie,,,,,,
up_glossary_institutional_terminology_12,acknowledgement,kamogelo,erkenning,,,,,,
up_glossary_institutional_terminology_13,adequate achievement,bokgoni bjo bo amogelegago,bevredigende prestasie,,,,,,
up_glossary_institutional_terminology_14,administrative officer,mohlankeditaolo,administratiewe beampte,,,,,,
up_glossary_institutional_terminology_15,Admission,kamogelo,toelating,,,,,,
up_glossary_institutional_terminology_16,Admission Point Score,Meputso ya Dintlha tsa Kamogelo,Toelatingspunttelling,APS,,,,TPT,
up_glossary_institutional_terminology_17,Admissions Committee,Komiti ya Kamogelo,Toelatingskomitee,,,,,,
up_glossary_institutional_terminology_18,Admissions Management,Taolo ya Kamogelo,Toelatingsbestuur,,,,,,
up_glossary_institutional_terminology_19,admissions regulation,melawana ya kamogelo,toelatingsreglement,,,,,,
up_glossary_institutional_terminology_20,admissions test,teko/molekwana ya/wa kamogelo,toelatingstoets,,,,,,
up_glossary_institutional_terminology_21,admit or select,Amogela goba o kgethe,toelaat of keur,,,,,,
up_glossary_institutional_terminology_22,Advancement Unit,Lekala la Tsweletsopele,Bevorderingseenheid,,,,,,
up_glossary_institutional_terminology_23,Advisor to the Vice-Chancellor and Principal,Ofisi ya Moeleti wa Motlatsamokhanseliri le Hlogo,Adviseur van die Visekanselier en Rektor,,,,,,
up_glossary_institutional_terminology_24,aegrotat examination,Tlhahlobo ya akrothete,siekte-eksamen,,,,,,
up_glossary_institutional_terminology_25,Africa Day,Letsatsi la Afrika,Afrikadag,,,,,,
up_glossary_institutional_terminology_26,Agenda,agenda/lenaneo,agenda,,,,,,
up_glossary_institutional_terminology_27,Agreement,tumelelano,ooreenkoms,,,,,,
up_glossary_institutional_terminology_28,Albertina Sisulu Executive Leadership Programme in Health,Lenaneo la Boetapelephethisi la Albertina Sisulu ka Maphelo,Albertina Sisulu- Uitvoerende Leierskapprogram in Gesondheid,,,,,,
up_glossary_institutional_terminology_29,alma mater,alma mater,alma mater,,,,,,
up_glossary_institutional_terminology_30,Alma Mater Fund,Sekhwama sa Alma Mater,Alma Mater-fonds,,,,,,
up_glossary_institutional_terminology_31,alumna,moithuti wa maloba wa mosadi,alumna,female,,,,vroulik,
