id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_mamelodi_campus_0,Academic offices,Akademiese kantore,Diofisi tša thuto,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_1,Administration and main entrance,Administrasie en hoofingang,Taolo le botseno bjo bogolo,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_2,Arena,Arena,Arena,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_3,Conference Hall,Konferensiesaal,Holo ya Dikhonferense,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_4,Education / Geography,Opvoedkunde / Geografie,Thuto / Thutafase,Mamelodi / Mamelodi, / ,Mamelodi / Mamelodi, / ,, / 
up_glossary_mamelodi_campus_5,Fisika en Chemie,Physics and Chemistry,Fisika le Khemistri,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_6,Guard house,Hekwaghuis,Ntlo ya bahlapetši,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_7,Library,Biblioteek,Bokgobapuku,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_8,Psychology,Sielkunde,Saekolotši,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_9,Registration,Registrasie,Boingwadišo,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_10,Science Centre,Wetenskapsentrum,Senthara ya Disaense,Mamelodi,,Mamelodi,,,
up_glossary_mamelodi_campus_11,Technical Services,Tegniese Dienste,Ditirelo tša Thekniki,Mamelodi,,Mamelodi,,,
