id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_onderstepoort_campus_0,Anatomy,Anatomie,,Onderstepoort,Anatomy and Physiology,Onderstepoort,Anatomie en Fisiologie,,
up_glossary_onderstepoort_campus_1,"Animal Experimental Unit No 1, 2, 3, 4, 5","Proefdiereenheid Nr 1, 2, 3, 4, 5",,Onderstepoort,"Veterinary Science: Administration, Ovaru/Ovane",Onderstepoort,"Veeartsenykunde: Administrasie, Ovaru/Ovane",,
up_glossary_onderstepoort_campus_2,Arnold Theiler,Arnold Theiler,,Onderstepoort,"Director: Information Technology, Investment Management, Minolta, Onderstepoort Cafeteria, Student Health Services, Veterinary Science Library, Veterinary Science: Administration",Onderstepoort,"Direkteur: Inligtingtegnologie, Beleggingsbestuur, Minolta, Onderstepoortkafeteria, Studentegesondheidsdienste, Veeartsenykundebiblioteek, Veeartsenykunde: Administrasie",,
up_glossary_onderstepoort_campus_3,Change rooms,Kleedkamers,,Onderstepoort,Veterinary Science: Administration,Onderstepoort,Veeartsenykunde: Administrasie,,
up_glossary_onderstepoort_campus_4,Dog and cat kennels,Honde- en kathokke,,Onderstepoort,Onderstepoort Teaching Animal Unit,Onderstepoort,Onderstepoort-onderrigdiereenheid,,
up_glossary_onderstepoort_campus_5,Equine Research Unit No 1,Perdenavorsingseenheid Nr 1,,Onderstepoort,Equine Research Centre,Onderstepoort,Perdenavorsingsentrum,,
up_glossary_onderstepoort_campus_6,Faculty Building,Fakulteitsgebou,,Ethology and Physiology / Onderstepoort,"Anatomy and Physiology, Animal Production and Ethology, Blood-group Laboratory, Department of Companion Animal Clinical Studies, Director: Information Technology Services, DNA Laboratory, Facilities Management: Maintenance Services, Plant Science",Etologie en Fisiologie / Onderstepoort,"Anatomie en Fisiologie, Diereproduksie en Etologie, Bloedgroeplaboratorium, Departement Geselskapdier, Kliniese Studies, Direkteur: Inligtingtegnologie, DNA-laboratorium, Fasiliteitebestuur: Onderhouds-dienste, Plantkunde",,
up_glossary_onderstepoort_campus_7,Faculty workshop,Fakulteitswerkswinkel,,Onderstepoort,Veterinary Science: Administration,Onderstepoort,Veeartsenykunde: Administrasie,,
up_glossary_onderstepoort_campus_8,"Feed stores 3, 4","Voerstore 3, 4",,Onderstepoort,"Onderstepoort Cafeteria, Onderstepoort Teaching Animal Unit, Veterinary Science: Administration",Onderstepoort,"Onderstepoort-kafeteria, Onderstepoort-onderrigdiereenheid, Veeartsenykunde: Administrasie",,
up_glossary_onderstepoort_campus_9,Feeding store,Voerskuur,,Onderstepoort,Onderstepoort Teaching Animal Unit,Onderstepoort,Onderstepoort-onderrigdiereenheid,,
up_glossary_onderstepoort_campus_10,Formalin store,Formalienberging,,Onderstepoort,Anatomy and Physiology,Onderstepoort,Anatomie en Fisiologie,,
up_glossary_onderstepoort_campus_11,Garage,Voertuigstoor,,Onderstepoort,"Facilities Management: Maintenance Services, Veterinary Science: Administration",Onderstepoort,"Fasiliteitebestuur: Onderhouds-dienste, Veeartsenykunde: Administrasie",,
up_glossary_onderstepoort_campus_12,Incinerator,Verbrander,,Onderstepoort,Veterinary Science: Administration,Onderstepoort,Veeartsenykunde: Administrasie,,
up_glossary_onderstepoort_campus_13,Milk foyer,Melkportaal,,Onderstepoort,Onderstepoort Teaching Animal Unit,Onderstepoort,Onderstepoort-onderrigdiereenheid,,
