id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_prizes_and_awards_0,UP Vice-Chancellor's Book Awards,Difoka tša Dipuku tša Motlatšamokhanseliri wa UP,UP Visekanseliersboektoekennings,Vice-Chancellor and Principal,,,,Visekanselier en Rektor,
up_glossary_prizes_and_awards_1,Dean's List Awards,Lenaneo la Difoka la Hlogo ya Lefapha,Dekaanslys-toekennings,Economic and Management Science,Dean's Office/Dekaanskantoor,,,Ekonomiese en Bestuurswetenskappe,Dekaanskantoor
up_glossary_prizes_and_awards_2,Investec Prize,Sefoka sa Investec,Investec-prys,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_3,KPMG Prize,Sefoka sa KPMG,KPMG-prys,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_4,LexisNexis Book Prize,Sefoka sa Dipuku tša LexisNexis,LexisNexis-boekprys,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_5,Standard Bank Prize,Sefoka sa Standard Bank,Standard Bank-prys,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_6,Mc Gregor BFA Prize,Sefoka sa Mc Gregor BFA,Mc Gregor BFA-prys,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_7,PricewaterhouseCoopers Prize,Sefoka sa PriceWaterhouse Coopers,PricewaterhouseCoopers-prys,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_8,Momentum Prize,Sefoka sa Momentum Momentum-prys,,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_9,CIMA Prize,Sefoka sa CIMA,CIMA-prys,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_10,Nedbank Prize,Sefoka sa Nedbank,Nedbank-prys,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_11,Russell Loubser JSE Merit Prize,Sefoka sa Bokgoni sa Russell Loubser JSE,Russell Loubser JAM-merieteprys,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_12,Credit Guarantee Bursary,Pasari ya Credit Guarantee,Credit Guarantee-beurs,Economic and Management Science,Department of Financial Management,,,Ekonomiese en Bestuurswetenskappe,Departement Finansiele Bestuur
up_glossary_prizes_and_awards_13,ACCA Prize,Sefoka sa ACCA,ACCA-prys,Association of Chartered Certified Accountants / Economic and Management Science,Department of Accounting,Lekgotla/Mokgatlo la/wa Dibalamatlotlo tšeo di Hlatsetšwego,,Vereniging van Gesertifiseerde Geoktrooieerde Rekenmeesters / Ekonomiese en Bestuurswetenskappe,Departement Rekeningkunde
up_glossary_prizes_and_awards_14,Nedbank Prize,Sefoka sa Nedbank,Nedbank-prys,Economic and Management Science,Department of Accounting,,,Ekonomiese en Bestuurswetenskappe,Departement Rekeningkunde
up_glossary_prizes_and_awards_15,Standard Bank Prize,Sefoka sa Standard Bank,Standard Bank-prys,Economic and Management Science,Department of Accounting,,,Ekonomiese en Bestuurswetenskappe,Departement Rekeningkunde
