id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_research_themes_and_projects_0,Animal and Zoonotic Diseases,Malwetši a Diphoofolo le Zonetiki,Dier- en Soönotiese Siektes,AZD / institutional,,AZD / ya institušene,,institusioneel,
up_glossary_research_themes_and_projects_1,Capital Cities Project,Protšeke ya Ditoropokgolo,Hoofstedeprojek,institutional,,ya institušene,,institusioneel,
up_glossary_research_themes_and_projects_2,Cellular and Molecular Medicine,Kalafo ya Selula le Molekula,Sellulêre en Molekulêre Geneeskunde,institutional,,ya institušene,,institusioneel,
up_glossary_research_themes_and_projects_3,Enhancing the Wellbeing of Vulnerable Children,Go kaonafatša go phela gabotse ga Bana bao ba lego Kotsing,Verbetering van die Welsyn van Weerlose Kinders,Humanities,,Bomotho,,Geesteswetenskappe,
up_glossary_research_themes_and_projects_4,"Food, Nutrition and Well-being","Dijo, Phepo le Go phela gabotse ga batho","Voedsel, Voeding en Welstand",,,,,institusioneel,
up_glossary_research_themes_and_projects_5,Genomics,Ditšenomiki,Genomika,institutional,,ya institušene,,institusioneel,
up_glossary_research_themes_and_projects_6,Human Economy Programme,Mananeo a Ekonomi ya Batho,Program in Mense-ekonomie,Humanities,,Bomotho,,Geesteswetenskappe,
up_glossary_research_themes_and_projects_7,Peace and Conflict,Khutšo le Phapano,Vrede en Konflik,Humanities,,Bomotho,,Geesteswetenskappe,
up_glossary_research_themes_and_projects_8,Southern Modernities,Dibjalebjale tša Borwa,Suidelike Moderniteite,Humanities,,Bomotho,,Geesteswetenskappe,
up_glossary_research_themes_and_projects_9,Sustanaible Development Goals,Maikemišetšo a Tšweletšopele a Go swarelela,Volhoubare Ontwikkelingsdoelwitte,SDGs / institutional,,SDGs / ya institušene,,VOD's / institusioneel,
up_glossary_research_themes_and_projects_10,Sustainable Malaria Control,Taolo ya Malaria ya Go swarelela,Volhoubare Malariabeheer,institutional,,ya institušene,,institusioneel,
up_glossary_research_themes_and_projects_11,The meaning and value of Ubuntu in human and social development in Africa,Tlhahlošo le mohola wa Botho mo tšwelotšopeleng ya batho le leago mo Afrika,Die betekenis en waarde van Ubuntu in menslike en maatskaplike ontwikkeling in Afrika,,,,,,
up_glossary_research_themes_and_projects_12,Visual Technologies—Critical Encounters,Ditheknolotši tša Pono – Ditlhakano tše di Tseneletšego,Visuele Tegnologieë – Kritieke Ontmoetings,Humanities,,Bomotho,,Geesteswetenskappe,
