id,eng,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_residences_0,Asterhof Women's Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_1,Asterhof / Jasmyn Dining Hall,,Hatfield Campus / Hatfield Campus,Residence Affairs and Accommodation / Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_2,Duxbury Road 24 Annexe,,Hatfield Campus,Residence Accommodation,Hatfieldkampus,
up_glossary_residences_3,Erika Women's Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_4,Erika / Klaradyn Dining Hall,,Hatfield Campus / Hatfield Campus,Residence Affairs and Accommodation / Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_5,Glaskas Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_6,Hillcrest Residences,,"Boekenhout, Kollege, Maroela, Mopanie, Olienhout, Taaibos, Katjiepiering, Fairview Village, Tuks Village / Hatfield Campus",Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_7,Jasmyn Women's Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_8,Klaradyn Women's Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_9,'Matrooshuis',,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_10,'Pastorie' Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_11,Madelief Women's Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_12,Madelief / Magrietjie Dining Hall,,Hatfield Campus / Hatfield Campus,Residence Affairs and Accommodation / Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_13,Magrietjie Women's Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_14,Mission and Cottage,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_15,Nerina Women's Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_16,Protea Residence,,Hatfield Campus,Protea,Hatfieldkampus,
up_glossary_residences_17,Roosmaryn Women's Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_18,Vergeet-My-Nie Women's Residence,,Hatfield Campus,Residence Affairs and Accommodation,Hatfieldkampus,
up_glossary_residences_19,Inca Women's Residence,Inca-dameskoshuis,Groenkloof Campus,Residence Affairs and Accommodation,Groenkloofkampus,
up_glossary_residences_20,Jakarandia Club House,Jakarandia-klubhuis,Groenkloof Campus,Residence Affairs and Accommodation,Groenkloofkampus,
up_glossary_residences_21,Kiaat Club House,Kiaat-klubhuis,Groenkloof Campus,Residence Affairs and Accommodation,Groenkloofkampus,
up_glossary_residences_22,Kiaat Men's Residence,Kiaat-manskoshuis,Groenkloof Campus,Residence Affairs and Accommodation,Groenkloofkampus,
up_glossary_residences_23,Lilium Women's Residence,Lilium-dameskoshuis,Groenkloof Campus,Residence Affairs and Accommodation,Groenkloofkampus,
up_glossary_residences_24,Zinnia Women's Residence,Zinnia-dameskoshuis,Groenkloof Campus,Residence Affairs and Accommodation,Groenkloofkampus,
up_glossary_residences_25,Naledi Student Housing,Naledi-studentebehuising,Mamelodi Campus,Residence Affairs and Accommodation,Mamelodikampus,
up_glossary_residences_26,Brucella Annex,Brucella-anneks,student housing / Onderstepoort Campus,Onderstepoort Residence,studentebehuising / Onderstepoortkampus,
up_glossary_residences_27,Brucella Student Housing,,Onderstepoort Campus,House Brucella,Onderstepoortkampus,
up_glossary_residences_28,Curlitzia,Curlitzia,Prinshof Campus,"Curlitzia Food, Curlitzia Accommodation",Prinshofkampus,
up_glossary_residences_29,Olympus Residence Blocks A-F / Club House / Residence Hall,,Prinshofkampus / Prinshofkampus / Prinshofkampus,Medical Residence Olympus / Medical Residence Olympus / Medical Residence Olympus,Hatfieldkampus,
up_glossary_residences_30,Olympus Residence,Olympus-koshuis,Prinshof Campus,Medical: Residence,Prinshofkampus,
