id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_senate_0,Appeals Committee: Admissions,Komiti ya Boipiletšo: Dikamogelo,Appèlkomitee: Toelatings,not: Senate's Appeal Committee,,e sego: Komiti ya Boipiletšo ya Senate,,nie: Appèlkomitee van die Senaat nie,
up_glossary_senate_1,Executive Management of Senate,Taolophethišo ya Senate,Uitvoerende Bestuur van die Senaat,,,,,,
up_glossary_senate_2,Senate,Senate,die Senaat,not 'the' Senate,,,,,
up_glossary_senate_3,"Senate Committee for Admission, Evaluation and Academic Support","Komiti ya Boipiletšo ya Dikamogelo, Tekolo le Thekgo ya Dithuto","Senaatskomitee vir Toelating, Evaluering en Akademiese Ondersteuning",,,,,,
up_glossary_senate_4,Senate Committee for Community Engagement,Komiti ya Senate ya Go tšea karolo Setšhabeng,Senaatskomitee vir Gemeenskapsbetrokkenheid,,,,,,
up_glossary_senate_5,Senate Committee for Student Access and Success,Komiti ya Senate ya Phihlelelo le Katlego ya Baithuti,Senaatskomitee vir Studentetoelating-en-sukses,,,,,,
up_glossary_senate_6,Senate Committee for Student Cases,Komiti ya Senate ya Melato ya Baithuti,Senaatskomitee vir Studentegevalle,,,,,,
up_glossary_senate_7,Senate Committee for Student Life,Komiti ya Senate ya Maphelo a Baithui,Senaatskomitee vir Studentelewe,,,,,,
up_glossary_senate_8,Senate Language Policy Committee,Komiti ya Senate ya Pholisi ya Polelo,Die Taalbeleidkomitee van die Senaat,,,,,,
up_glossary_senate_9,Senate Committee for Research,Komiti ya Senate ya Dinyakišišo,Senaatskomitee vir Navorsing,,,,,,
up_glossary_senate_10,Senate decisions,Diphetho tša Senate,Senaatsbesluite,,,,,,
up_glossary_senate_11,Senate Executive,Senatephethiši,Uitvoerende Bestuur van die Senaat,,,,,,
